datum;aufsteigend;z1asc;z2asc;z3asc;z4asc;z5asc;z6asc;zz;zusatzzahl;sechser;;quoteSechser;fuenferZz;;quoteFuenferZz;fuenfer;;quoteFuenfer;viererZz;;quoteViererZz;vierer;;quoteVierer;dreierZz;;quoteDreierZz;dreier;;quoteDreier;ZZ;nrOfZz;;quoteZz;
01.01.2020;aufsteigend;5;8;19;23;36;39;ZZ;3;1;EUR;5.100.702,70;3;EUR;61.706,10;184;EUR;1.097,50;439;EUR;138,00;8.076;EUR;41,60;11.291;EUR;13,40;123.124;EUR;4,90;ZZ;376.940;EUR;1,20;
05.01.2020;aufsteigend;3;5;12;27;36;44;ZZ;15;JP;;784.450,00;3;EUR;35.953,90;118;EUR;997,10;304;EUR;116,10;4.891;EUR;40,00;6.852;EUR;12,80;76.648;EUR;4,60;ZZ;194.453;EUR;1,20;
08.01.2020;aufsteigend;18;21;24;38;41;42;ZZ;4;DJP;;1.562.962,40;2;EUR;53.522,70;79;EUR;1.478,10;202;EUR;173,40;3.577;EUR;54,40;5.624;EUR;15,50;61.259;EUR;5,70;ZZ;232.171;EUR;1,20;
12.01.2020;aufsteigend;6;13;25;31;38;44;ZZ;32;3JP;;2.605.418,70;3;EUR;47.779,20;101;EUR;1.548,20;252;EUR;186,10;4.910;EUR;53,00;6.229;EUR;18,80;82.953;EUR;5,60;ZZ;274.909;EUR;1,20;
15.01.2020;aufsteigend;9;11;16;26;31;41;ZZ;34;1;EUR;3.743.596,90;3;EUR;52.166,50;148;EUR;1.153,50;358;EUR;143,00;6.863;EUR;41,40;8.344;EUR;15,30;102.111;EUR;5,00;ZZ;278.999;EUR;1,20;
19.01.2020;aufsteigend;5;12;36;38;39;45;ZZ;22;JP;;739.149,00;JP;;101.632,90;81;EUR;1.368,70;195;EUR;170,50;3.585;EUR;51,50;5.138;EUR;16,10;59.766;EUR;5,50;ZZ;196.996;EUR;1,20;
22.01.2020;aufsteigend;1;15;28;42;43;44;ZZ;12;DJP;;1.567.177,00;1;EUR;215.486,80;83;EUR;1.496,40;208;EUR;179,10;3.926;EUR;52,70;5.586;EUR;16,60;67.694;EUR;5,50;ZZ;238.708;EUR;1,20;
26.01.2020;aufsteigend;5;23;26;27;37;40;ZZ;4;3JP;;2.586.615,30;3;EUR;46.724,20;132;EUR;1.158,40;271;EUR;169,20;5.247;EUR;48,50;7.257;EUR;15,80;89.052;EUR;5,10;ZZ;285.667;EUR;1,20;
29.01.2020;aufsteigend;3;11;23;29;39;44;ZZ;28;2;EUR;1.852.209,10;6;EUR;25.616,30;154;EUR;1.088,70;329;EUR;152,80;6.700;EUR;41,70;8.481;EUR;14,80;104.265;EUR;4,80;ZZ;304.291;EUR;1,20;
02.02.2020;aufsteigend;6;7;9;20;28;30;ZZ;40;1;EUR;1.000.000,00;4;EUR;26.303,30;127;EUR;903,70;305;EUR;112,80;5.830;EUR;32,80;6.512;EUR;13,20;80.821;EUR;4,20;ZZ;178.397;EUR;1,20;
05.02.2020;aufsteigend;8;17;33;36;38;44;ZZ;23;JP;;624.985,80;1;EUR;85.935,50;70;EUR;1.339,20;193;EUR;145,70;3.471;EUR;45,00;4.791;EUR;14,60;53.759;EUR;5,20;ZZ;165.473;EUR;1,20;
09.02.2020;aufsteigend;5;22;23;27;37;45;ZZ;25;DJP;;1.526.804,60;4;EUR;31.000,00;81;EUR;1.670,00;210;EUR;193,20;4.836;EUR;46,60;6.136;EUR;16,50;79.353;EUR;5,10;ZZ;221.959;EUR;1,20;
12.02.2020;aufsteigend;3;4;7;17;39;44;ZZ;33;3JP;;2.444.200,20;4;EUR;31.535,40;121;EUR;1.137,20;359;EUR;114,90;6.396;EUR;35,80;8.154;EUR;12,60;93.010;EUR;4,40;ZZ;234.587;EUR;1,20;
16.02.2020;aufsteigend;4;5;20;22;31;39;ZZ;38;4JP;;3.656.154,60;1;EUR;166.643,70;116;EUR;1.567,10;287;EUR;190,00;6.170;EUR;49,10;7.402;EUR;18,40;106.355;EUR;5,10;ZZ;298.491;EUR;1,20;
19.02.2020;aufsteigend;1;2;3;16;24;44;ZZ;12;5JP;;5.015.647,30;5;EUR;37.386,00;131;EUR;1.556,60;511;EUR;119,70;7.855;EUR;43,20;11.931;EUR;12,80;121.140;EUR;5,00;ZZ;355.810;EUR;1,20;
23.02.2020;aufsteigend;6;8;18;33;42;45;ZZ;29;6JP;;6.821.231,10;3;EUR;82.755,90;201;EUR;1.347,40;564;EUR;144,00;10.019;EUR;45,00;13.041;EUR;15,50;159.184;EUR;5,10;ZZ;475.226;EUR;1,20;
26.02.2020;aufsteigend;3;6;11;16;25;43;ZZ;1;3;EUR;3.067.178,20;11;EUR;29.753,70;326;EUR;1.095,20;869;EUR;123,20;13.945;EUR;42,60;19.173;EUR;13,90;218.999;EUR;4,90;ZZ;606.732;EUR;1,20;
01.03.2020;aufsteigend;11;14;20;37;38;41;ZZ;13;1;EUR;1.000.000,00;4;EUR;26.397,20;61;EUR;1.888,30;180;EUR;191,90;3.463;EUR;55,40;4.422;EUR;19,50;59.552;EUR;5,80;ZZ;216.655;EUR;1,20;
04.03.2020;aufsteigend;4;10;12;31;34;44;ZZ;32;1;EUR;1.000.000,00;2;EUR;45.707,40;69;EUR;1.445,20;169;EUR;177,00;3.600;EUR;46,10;4.235;EUR;17,60;59.487;EUR;5,00;ZZ;163.389;EUR;1,20;
08.03.2020;aufsteigend;3;10;13;18;26;36;ZZ;9;2;EUR;500.000,00;4;EUR;26.507,30;137;EUR;844,20;269;EUR;128,90;4.703;EUR;40,90;7.044;EUR;12,30;72.480;EUR;4,80;ZZ;223.700;EUR;1,20;
11.03.2020;aufsteigend;15;29;31;42;44;45;ZZ;10;JP;;653.046,80;1;EUR;89.793,90;66;EUR;1.484,10;172;EUR;170,80;2.956;EUR;55,20;4.240;EUR;17,30;50.820;EUR;5,80;ZZ;202.050;EUR;1,20;
13.03.2020;aufsteigend;2;14;26;30;38;39;ZZ;18;DJP;;1.464.858,70;4;EUR;27.906,00;81;EUR;1.503,30;254;EUR;143,80;4.151;EUR;48,80;5.428;EUR;16,80;67.701;EUR;5,40;ZZ;206.402;EUR;1,20;
15.03.2020;aufsteigend;4;16;17;20;25;43;ZZ;19;3JP;;2.157.961,20;3;EUR;31.767,20;76;EUR;1.367,90;162;EUR;192,50;3.540;EUR;48,90;4.659;EUR;16,70;59.148;EUR;5,30;ZZ;192.570;EUR;1,20;
18.03.2020;aufsteigend;5;9;20;21;26;42;ZZ;27;1;EUR;2.931.988,60;JP;;106.428,70;89;EUR;1.304,50;217;EUR;160,50;4.209;EUR;45,90;6.121;EUR;14,20;71.810;EUR;4,80;ZZ;216.563;EUR;1,20;
22.03.2020;aufsteigend;4;9;12;17;32;43;ZZ;38;JP;;595.369,40;DJP;;188.292,00;77;EUR;1.159,80;174;EUR;153,90;3.416;EUR;43,50;3.834;EUR;17,40;57.412;EUR;4,60;ZZ;137.803;EUR;1,20;
25.03.2020;aufsteigend;5;26;30;31;32;33;ZZ;6;DJP;;1.242.615,00;1;EUR;277.288,30;54;EUR;1.797,90;150;EUR;194,10;3.274;EUR;49,40;4.155;EUR;17,50;53.000;EUR;5,50;ZZ;187.478;EUR;1,20;
29.03.2020;aufsteigend;3;4;6;30;36;39;ZZ;5;1;EUR;2.064.553,80;JP;;113.016,50;91;EUR;1.354,80;195;EUR;189,60;4.146;EUR;49,50;7.458;EUR;12,30;71.646;EUR;5,10;ZZ;238.229;EUR;1,20;
01.04.2020;aufsteigend;1;11;15;22;26;36;ZZ;25;JP;;549.182,40;3;EUR;62.843,00;68;EUR;1.211,40;156;EUR;158,40;3.793;EUR;36,10;3.678;EUR;16,70;50.130;EUR;4,90;ZZ;131.724;EUR;1,20;
05.04.2020;aufsteigend;12;23;28;33;40;41;ZZ;11;DJP;;1.324.207,60;JP;;106.565,90;66;EUR;1.761,40;211;EUR;165,20;4.070;EUR;47,60;5.592;EUR;15,50;66.915;EUR;5,20;ZZ;224.535;EUR;1,20;
08.04.2020;aufsteigend;1;4;6;15;18;32;ZZ;9;3JP;;2.114.184,40;DJP;;215.187,70;103;EUR;1.150,40;286;EUR;124,20;4.207;EUR;46,90;7.239;EUR;12,20;71.364;EUR;5,00;ZZ;223.670;EUR;1,20;
