datum;aufsteigend;z1asc;z2asc;z3asc;z4asc;z5asc;z6asc;zz;zusatzzahl;sechser;;quoteSechser;fuenferZz;;quoteFuenferZz;fuenfer;;quoteFuenfer;viererZz;;quoteViererZz;vierer;;quoteVierer;dreierZz;;quoteDreierZz;dreier;;quoteDreier;ZZ;nrOfZz;;quoteZz;
12.04.2020;aufsteigend;13;20;26;41;43;45;ZZ;17;4JP;;3.175.585,80;2;EUR;180.565,20;102;EUR;1.560,80;279;EUR;171,10;4.999;EUR;53,00;7.479;EUR;15,90;86.049;EUR;5,50;ZZ;297.132;EUR;1,20;
15.04.2020;aufsteigend;2;5;11;41;43;44;ZZ;38;5JP;;4.229.588,00;3;EUR;48.308,40;129;EUR;1.225,50;262;EUR;181,00;5.386;EUR;48,90;6.945;EUR;17,00;92.620;EUR;5,10;ZZ;256.378;EUR;1,20;
19.04.2020;aufsteigend;2;10;12;33;35;39;ZZ;38;6JP;;5.745.440,30;3;EUR;69.476,50;188;EUR;1.209,40;383;EUR;178,10;8.373;EUR;45,20;10.220;EUR;16,60;135.487;EUR;5,00;ZZ;372.551;EUR;1,20;
22.04.2020;aufsteigend;3;11;12;23;28;38;ZZ;2;1;EUR;7.749.269,60;4;EUR;68.881,60;252;EUR;1.192,70;698;EUR;129,10;12.409;EUR;40,30;16.670;EUR;13,50;191.784;EUR;4,70;ZZ;517.503;EUR;1,20;
26.04.2020;aufsteigend;8;16;23;25;26;28;ZZ;11;JP;;716.603,10;5;EUR;19.706,50;75;EUR;1.433,20;281;EUR;114,70;4.204;EUR;42,60;6.714;EUR;12,00;67.128;EUR;4,80;ZZ;198.859;EUR;1,20;
29.04.2020;aufsteigend;11;15;16;18;29;34;ZZ;13;DJP;;1.517.829,50;3;EUR;36.722,80;85;EUR;1.413,90;194;EUR;185,80;4.065;EUR;49,20;5.332;EUR;16,90;67.539;EUR;5,30;ZZ;218.792;EUR;1,20;
03.05.2020;aufsteigend;10;14;21;32;34;45;ZZ;11;2;EUR;1.260.846,90;3;EUR;46.010,40;142;EUR;1.060,40;261;EUR;173,00;5.704;EUR;43,90;7.135;EUR;15,80;86.870;EUR;5,20;ZZ;297.339;EUR;1,20;
06.05.2020;aufsteigend;4;8;26;27;28;44;ZZ;12;JP;;656.525,00;4;EUR;22.568,00;81;EUR;1.215,70;286;EUR;103,20;3.933;EUR;41,70;6.581;EUR;11,20;63.165;EUR;4,70;ZZ;175.312;EUR;1,20;
10.05.2020;aufsteigend;7;13;27;31;32;44;ZZ;10;1;EUR;1.585.772,90;2;EUR;63.885,70;116;EUR;1.201,60;284;EUR;147,20;4.828;EUR;48,10;6.999;EUR;14,90;81.611;EUR;5,10;ZZ;268.125;EUR;1,20;
13.05.2020;aufsteigend;4;18;19;21;25;36;ZZ;2;JP;;641.993,00;2;EUR;44.137,00;78;EUR;1.234,60;222;EUR;130,10;3.256;EUR;49,20;4.741;EUR;15,20;52.326;EUR;5,50;ZZ;176.038;EUR;1,20;
17.05.2020;aufsteigend;3;7;11;18;22;34;ZZ;35;1;EUR;1.563.365,00;JP;;126.688,60;126;EUR;1.096,80;231;EUR;179,40;5.960;EUR;38,60;6.437;EUR;16,10;91.513;EUR;4,50;ZZ;222.728;EUR;1,20;
20.05.2020;aufsteigend;4;13;14;24;27;31;ZZ;22;1;EUR;1.000.000,00;6;EUR;35.947,20;95;EUR;1.021,90;181;EUR;160,90;3.629;EUR;44,50;4.819;EUR;15,10;57.982;EUR;5,00;ZZ;171.128;EUR;1,20;
24.05.2020;aufsteigend;12;16;18;25;28;34;ZZ;45;JP;;692.452,70;1;EUR;95.212,20;71;EUR;1.462,90;136;EUR;229,10;3.637;EUR;47,50;4.437;EUR;17,50;59.779;EUR;5,20;ZZ;176.316;EUR;1,20;
27.05.2020;aufsteigend;12;20;28;37;40;42;ZZ;1;DJP;;1.474.774,10;1;EUR;107.569,10;78;EUR;1.504,40;249;EUR;141,30;4.087;EUR;47,80;5.674;EUR;15,50;65.010;EUR;5,40;ZZ;218.698;EUR;1,20;
31.05.2020;aufsteigend;21;25;26;28;34;40;ZZ;17;1;EUR;2.524.333,70;3;EUR;48.104,80;103;EUR;1.528,40;283;EUR;166,80;5.080;EUR;51,60;7.737;EUR;15,20;86.437;EUR;5,40;ZZ;293.161;EUR;1,20;
03.06.2020;aufsteigend;4;9;10;13;18;31;ZZ;36;2;EUR;500.000,00;5;EUR;16.867,60;81;EUR;1.135,80;186;EUR;148,30;3.977;EUR;38,50;4.107;EUR;16,80;59.799;EUR;4,60;ZZ;143.931;EUR;1,20;
07.06.2020;aufsteigend;1;12;20;36;41;42;ZZ;22;1;EUR;1.000.000,00;4;EUR;25.477,40;76;EUR;1.462,80;186;EUR;179,30;3.601;EUR;51,40;4.901;EUR;17,00;57.748;EUR;5,80;ZZ;199.077;EUR;1,20;
10.06.2020;aufsteigend;8;11;18;24;27;37;ZZ;45;1;EUR;1.000.000,00;2;EUR;44.234,80;89;EUR;1.084,40;183;EUR;158,20;3.627;EUR;44,30;4.353;EUR;16,60;59.332;EUR;4,90;ZZ;162.952;EUR;1,20;
14.06.2020;aufsteigend;9;12;17;20;28;45;ZZ;5;JP;;695.661,10;6;EUR;15.942,20;113;EUR;923,40;299;EUR;104,60;4.610;EUR;37,70;6.923;EUR;11,30;66.743;EUR;4,70;ZZ;193.599;EUR;1,20;
17.06.2020;aufsteigend;3;11;12;16;28;39;ZZ;43;1;EUR;1.499.154,40;3;EUR;36.826,70;137;EUR;879,70;286;EUR;126,40;5.510;EUR;36,40;6.770;EUR;13,30;82.004;EUR;4,40;ZZ;191.724;EUR;1,20;
19.06.2020;aufsteigend;1;7;13;39;44;45;ZZ;9;JP;;625.001,70;1;EUR;85.937,70;105;EUR;892,80;206;EUR;136,50;3.532;EUR;44,20;5.169;EUR;13,60;55.535;EUR;5,00;ZZ;183.639;EUR;1,20;
21.06.2020;aufsteigend;4;15;30;35;38;45;ZZ;42;DJP;;1.272.298,20;JP;;89.003,20;87;EUR;1.116,00;174;EUR;167,40;3.321;EUR;48,70;3.984;EUR;18,20;53.067;EUR;5,50;ZZ;158.280;EUR;1,20;
24.06.2020;aufsteigend;10;17;18;25;29;36;ZZ;37;3JP;;2.134.106,20;DJP;;207.501,80;79;EUR;1.636,30;199;EUR;194,80;4.347;EUR;49,50;5.315;EUR;18,20;73.101;EUR;5,30;ZZ;198.860;EUR;1,20;
28.06.2020;aufsteigend;10;16;28;31;36;37;ZZ;33;2;EUR;1.641.680,80;2;EUR;182.762,20;123;EUR;1.401,50;279;EUR;185,30;5.564;EUR;51,60;7.950;EUR;16,20;93.456;EUR;5,50;ZZ;318.283;EUR;1,20;
01.07.2020;aufsteigend;1;3;15;22;27;32;ZZ;23;JP;;630.374,50;1;EUR;86.676,40;102;EUR;927,00;178;EUR;159,30;3.895;EUR;40,40;5.024;EUR;14,10;60.994;EUR;4,60;ZZ;160.617;EUR;1,20;
05.07.2020;aufsteigend;1;3;5;6;35;42;ZZ;9;1;EUR;1.529.890,70;3;EUR;41.227,80;92;EUR;1.466,60;370;EUR;109,40;6.027;EUR;37,30;8.617;EUR;11,70;81.534;EUR;4,90;ZZ;248.080;EUR;1,20;
08.07.2020;aufsteigend;4;16;26;31;34;40;ZZ;42;JP;;623.688,10;1;EUR;85.757,10;82;EUR;1.140,80;166;EUR;169,00;3.477;EUR;44,80;4.115;EUR;17,00;54.176;EUR;5,20;ZZ;151.079;EUR;1,20;
12.07.2020;aufsteigend;8;17;18;33;42;45;ZZ;32;DJP;;1.501.733,40;2;EUR;60.365,60;120;EUR;1.097,50;244;EUR;161,90;4.849;EUR;45,20;6.045;EUR;16,30;76.835;EUR;5,10;ZZ;213.083;EUR;1,20;
15.07.2020;aufsteigend;11;15;18;21;32;44;ZZ;31;3JP;;2.431.972,80;4;EUR;31.976,90;86;EUR;1.622,50;233;EUR;179,60;4.658;EUR;49,90;6.033;EUR;17,30;79.528;EUR;5,20;ZZ;228.143;EUR;1,20;
19.07.2020;aufsteigend;4;11;16;32;41;45;ZZ;21;4JP;;3.661.597,20;5;EUR;33.814,60;146;EUR;1.263,30;421;EUR;131,40;6.443;EUR;47,70;9.939;EUR;13,90;105.189;EUR;5,20;ZZ;327.882;EUR;1,20;
22.07.2020;aufsteigend;3;6;9;22;24;38;ZZ;20;1;EUR;5.014.263,60;2;EUR;92.995,80;210;EUR;966,10;439;EUR;138,60;8.430;EUR;40,10;10.838;EUR;14,00;129.778;EUR;4,70;ZZ;344.227;EUR;1,20;
26.07.2020;aufsteigend;1;3;7;26;27;35;ZZ;21;JP;;739.483,40;2;EUR;50.839,40;100;EUR;1.109,20;251;EUR;132,50;4.794;EUR;38,50;6.598;EUR;12,60;77.291;EUR;4,30;ZZ;188.738;EUR;1,20;
29.07.2020;aufsteigend;23;24;31;35;36;42;ZZ;14;1;EUR;1.519.795,70;1;EUR;107.292,90;73;EUR;1.603,30;178;EUR;197,20;3.325;EUR;58,60;4.908;EUR;17,80;59.066;EUR;5,90;ZZ;206.786;EUR;1,20;
02.08.2020;aufsteigend;16;17;18;23;26;44;ZZ;34;JP;;724.383,20;2;EUR;49.801,30;72;EUR;1.509,10;223;EUR;146,10;3.511;EUR;51,50;5.270;EUR;15,40;60.708;EUR;5,30;ZZ;167.866;EUR;1,20;
05.08.2020;aufsteigend;3;30;32;34;37;39;ZZ;18;DJP;;1.543.694,00;1;EUR;112.655,20;118;EUR;1.041,40;202;EUR;182,50;4.141;EUR;49,40;4.963;EUR;18,50;64.913;EUR;5,70;ZZ;211.357;EUR;1,20;
09.08.2020;aufsteigend;3;4;17;23;25;32;ZZ;36;3JP;;2.551.483,70;3;EUR;46.190,30;98;EUR;1.542,50;248;EUR;182,80;5.518;EUR;45,60;6.978;EUR;16,20;91.295;EUR;4,90;ZZ;242.672;EUR;1,20;
12.08.2020;aufsteigend;1;16;18;23;27;45;ZZ;15;4JP;;3.651.416,90;6;EUR;25.206,80;115;EUR;1.434,60;319;EUR;155,10;6.026;EUR;45,60;7.948;EUR;15,50;97.293;EUR;5,10;ZZ;286.878;EUR;1,20;
16.08.2020;aufsteigend;5;26;31;32;37;41;ZZ;23;2;EUR;2.500.168,00;1;EUR;185.476,30;152;EUR;1.331,10;360;EUR;168,60;6.336;EUR;53,20;9.547;EUR;15,80;106.180;EUR;5,70;ZZ;359.460;EUR;1,20;
19.08.2020;aufsteigend;5;9;15;33;34;42;ZZ;38;JP;;652.750,50;1;EUR;89.753,10;70;EUR;1.398,70;180;EUR;163,10;3.449;EUR;47,30;4.403;EUR;16,60;58.518;EUR;5,00;ZZ;149.287;EUR;1,20;
23.08.2020;aufsteigend;3;12;19;26;32;40;ZZ;24;1;EUR;1.539.386,30;2;EUR;60.956,20;164;EUR;810,90;295;EUR;135,20;5.792;EUR;38,20;7.155;EUR;13,90;80.957;EUR;4,90;ZZ;218.141;EUR;1,20;
26.08.2020;aufsteigend;3;4;8;14;31;38;ZZ;13;JP;;614.156,80;2;EUR;42.223,20;65;EUR;1.417,20;167;EUR;165,40;3.224;EUR;47,60;4.444;EUR;15,50;55.711;EUR;4,90;ZZ;158.874;EUR;1,20;
30.08.2020;aufsteigend;17;22;27;35;36;39;ZZ;21;1;EUR;1.507.513,30;5;EUR;24.567,30;124;EUR;1.080,60;273;EUR;147,20;5.160;EUR;43,20;6.502;EUR;15,40;81.147;EUR;4,90;ZZ;245.194;EUR;1,20;
02.09.2020;aufsteigend;11;21;34;37;40;43;ZZ;19;JP;;650.112,50;2;EUR;44.695,20;55;EUR;1.773,00;188;EUR;155,60;3.282;EUR;49,50;4.211;EUR;17,30;52.121;EUR;5,60;ZZ;183.928;EUR;1,20;
06.09.2020;aufsteigend;4;11;15;34;36;39;ZZ;44;DJP;;1.555.863,00;4;EUR;31.135,10;95;EUR;1.430,10;227;EUR;179,50;4.604;EUR;49,10;6.301;EUR;16,10;76.571;EUR;5,30;ZZ;223.657;EUR;1,20;
09.09.2020;aufsteigend;7;11;18;22;26;34;ZZ;27;3JP;;2.473.805,10;4;EUR;31.554,20;157;EUR;877,00;266;EUR;155,20;5.841;EUR;39,20;7.283;EUR;14,10;86.547;EUR;4,70;ZZ;253.025;EUR;1,20;
13.09.2020;aufsteigend;20;22;30;34;40;43;ZZ;39;4JP;;3.660.980,50;4;EUR;40.809,10;125;EUR;1.424,60;361;EUR;147,90;6.123;EUR;48,40;8.034;EUR;16,60;99.809;EUR;5,30;ZZ;310.886;EUR;1,20;
16.09.2020;aufsteigend;3;8;18;23;32;41;ZZ;21;5JP;;4.966.216,30;6;EUR;29.911,60;174;EUR;1.125,20;475;EUR;123,60;7.545;EUR;43,20;10.539;EUR;13,90;116.474;EUR;5,00;ZZ;347.052;EUR;1,20;
20.09.2020;aufsteigend;5;6;14;19;26;30;ZZ;11;1;EUR;6.700.911,10;11;EUR;21.683,60;234;EUR;1.111,90;674;EUR;115,80;10.145;EUR;42,70;15.330;EUR;12,70;159.880;EUR;4,90;ZZ;471.763;EUR;1,20;
23.09.2020;aufsteigend;4;8;11;21;39;45;ZZ;14;2;EUR;500.000,00;JP;;88.480,70;92;EUR;1.049,10;207;EUR;139,80;4.209;EUR;38,20;4.778;EUR;15,10;64.074;EUR;4,50;ZZ;157.081;EUR;1,20;
27.09.2020;aufsteigend;3;6;8;11;32;39;ZZ;27;JP;;731.813,00;2;EUR;94.552,50;80;EUR;1.372,10;285;EUR;115,50;4.708;EUR;38,80;6.973;EUR;11,80;73.045;EUR;4,50;ZZ;195.353;EUR;1,20;
30.09.2020;aufsteigend;2;7;11;22;28;39;ZZ;40;DJP;;1.533.324,40;1;EUR;110.207,80;134;EUR;897,20;227;EUR;158,80;5.482;EUR;36,50;5.893;EUR;15,30;82.290;EUR;4,40;ZZ;192.295;EUR;1,20;
04.10.2020;aufsteigend;10;14;16;27;30;40;ZZ;38;1;EUR;2.573.740,50;3;EUR;47.685,70;160;EUR;975,30;338;EUR;138,50;6.515;EUR;39,90;7.552;EUR;15,40;97.062;EUR;4,80;ZZ;249.096;EUR;1,20;
07.10.2020;aufsteigend;3;7;9;13;17;26;ZZ;18;1;EUR;1.000.000,00;4;EUR;21.981,70;193;EUR;496,90;289;EUR;99,50;6.500;EUR;24,50;5.783;EUR;12,40;80.328;EUR;3,60;ZZ;151.427;EUR;1,20;
11.10.2020;aufsteigend;5;16;18;24;34;42;ZZ;20;1;EUR;1.000.000,00;1;EUR;101.545,20;77;EUR;1.438,60;204;EUR;162,90;3.804;EUR;48,50;5.181;EUR;16,00;62.277;EUR;5,30;ZZ;192.975;EUR;1,20;
14.10.2020;aufsteigend;4;7;9;10;19;42;ZZ;8;JP;;620.082,20;3;EUR;28.420,40;100;EUR;930,10;335;EUR;83,20;4.878;EUR;31,70;6.692;EUR;10,40;66.381;EUR;4,20;ZZ;175.385;EUR;1,20;
18.10.2020;aufsteigend;10;15;22;35;43;45;ZZ;2;2;EUR;765.055,50;3;EUR;41.709,60;99;EUR;1.378,80;271;EUR;151,10;4.958;EUR;45,80;6.486;EUR;15,70;77.204;EUR;5,30;ZZ;251.137;EUR;1,20;
21.10.2020;aufsteigend;3;11;19;25;28;38;ZZ;34;1;EUR;1.000.000,00;1;EUR;83.707,60;106;EUR;861,40;175;EUR;156,50;3.917;EUR;38,80;4.121;EUR;16,60;58.612;EUR;4,60;ZZ;146.600;EUR;1,20;
25.10.2020;aufsteigend;1;3;5;10;39;40;ZZ;19;JP;;726.546,40;4;EUR;24.975,00;98;EUR;1.112,00;292;EUR;111,90;4.494;EUR;40,40;6.981;EUR;11,70;73.562;EUR;4,40;ZZ;180.693;EUR;1,20;
28.10.2020;aufsteigend;4;8;10;15;18;35;ZZ;42;1;EUR;1.446.969,50;3;EUR;33.019,30;75;EUR;1.440,80;191;EUR;169,70;4.329;EUR;41,60;5.014;EUR;16,10;69.021;EUR;4,70;ZZ;174.118;EUR;1,20;
01.11.2020;aufsteigend;1;4;5;8;28;29;ZZ;39;1;EUR;1.000.000,00;2;EUR;51.017,90;145;EUR;767,60;211;EUR;158,20;5.890;EUR;31,40;5.491;EUR;15,20;82.470;EUR;4,00;ZZ;184.625;EUR;1,20;
04.11.2020;aufsteigend;6;17;26;28;36;45;ZZ;11;JP;;618.587,70;2;EUR;42.527,90;85;EUR;1.091,60;201;EUR;138,40;3.423;EUR;45,10;4.853;EUR;14,30;55.452;EUR;5,00;ZZ;178.762;EUR;1,20;
08.11.2020;aufsteigend;18;28;31;35;44;45;ZZ;26;DJP;;1.510.489,60;6;EUR;20.439,40;92;EUR;1.454,10;197;EUR;203,70;4.224;EUR;52,70;5.856;EUR;17,10;69.246;EUR;5,80;ZZ;252.791;EUR;1,20;
11.11.2020;aufsteigend;7;16;20;31;38;41;ZZ;1;3JP;;2.453.597,70;3;EUR;43.225,70;99;EUR;1.428,90;253;EUR;167,70;4.748;EUR;49,60;6.228;EUR;17,00;77.230;EUR;5,50;ZZ;258.840;EUR;1,20;
13.11.2020;aufsteigend;1;4;5;24;42;45;ZZ;26;4JP;;3.501.068,80;2;EUR;72.013,60;128;EUR;1.227,50;288;EUR;163,60;5.695;EUR;45,90;7.929;EUR;14,80;93.627;EUR;5,00;ZZ;282.483;EUR;1,20;
15.11.2020;aufsteigend;12;16;29;34;35;45;ZZ;22;5JP;;4.528.208,60;2;EUR;70.615,80;85;EUR;1.812,50;243;EUR;190,20;4.846;EUR;52,90;7.056;EUR;16,30;82.780;EUR;5,60;ZZ;272.725;EUR;1,20;
18.11.2020;aufsteigend;7;16;25;30;33;39;ZZ;26;2;EUR;3.047.867,60;4;EUR;53.883,70;191;EUR;1.231,00;545;EUR;129,40;8.483;EUR;46,10;12.386;EUR;14,20;136.477;EUR;5,10;ZZ;418.846;EUR;1,20;
22.11.2020;aufsteigend;18;22;36;40;42;45;ZZ;2;2;EUR;500.000,00;1;EUR;104.978,70;70;EUR;1.636,00;192;EUR;178,90;3.647;EUR;52,30;4.962;EUR;17,30;60.960;EUR;5,60;ZZ;226.406;EUR;1,20;
25.11.2020;aufsteigend;10;13;15;26;33;39;ZZ;35;1;EUR;1.000.000,00;3;EUR;29.039,30;93;EUR;1.021,90;203;EUR;140,40;3.827;EUR;41,30;4.878;EUR;14,60;59.857;EUR;4,70;ZZ;145.432;EUR;1,20;
29.11.2020;aufsteigend;5;15;26;32;33;35;ZZ;30;JP;;749.657,70;3;EUR;34.359,30;100;EUR;1.124,40;256;EUR;131,70;4.917;EUR;38,10;5.695;EUR;14,80;68.352;EUR;4,90;ZZ;189.996;EUR;1,20;
02.12.2020;aufsteigend;11;14;24;27;28;34;ZZ;23;1;EUR;1.581.235,90;1;EUR;114.342,00;105;EUR;1.187,90;248;EUR;150,80;4.687;EUR;44,30;6.443;EUR;14,50;75.182;EUR;5,00;ZZ;215.292;EUR;1,20;
06.12.2020;aufsteigend;4;10;12;20;40;41;ZZ;2;JP;;798.355,70;2;EUR;54.886,90;99;EUR;1.209,60;277;EUR;129,60;4.698;EUR;42,40;7.193;EUR;12,40;73.711;EUR;4,90;ZZ;210.526;EUR;1,20;
09.12.2020;aufsteigend;1;4;6;9;23;42;ZZ;41;DJP;;1.596.571,80;2;EUR;54.877,30;108;EUR;1.108,60;242;EUR;148,40;5.463;EUR;36,50;5.182;EUR;17,30;82.818;EUR;4,30;ZZ;190.445;EUR;1,20;
