weekday;date;nr1asc;nr2asc;nr3asc;nr4asc;nr5asc;nr6asc;additionalNr;six;currency1;rateSix;fiveAddNr;currency2;rateFiveAddNr;five;currency3;rateFive;fourAddNr;currency4;rateFourAddNr;nr1;nr2;nr3;nr4;nr5;nr6;four;currency5;rateFour;threeAddNr;currency6;rateThreeAddNr;three;currency7;rateThree;nrOfAddNr;currency8;rateAddNr;
Sunday;28.11.2010;3;23;25;26;28;44;38;DJP;;2065263,20;3;EUR;58684,90;133;EUR;1444,00;337;EUR;199,40;23;26;25;44;28;3;7233;EUR;43,80;9505;EUR;16,10;121511;EUR;4,60;330781;EUR;1,10;
Wednesday;1.12.2010;12;15;16;22;29;36;24;3JP;;3494977,40;1;EUR;196585,60;180;EUR;1191,40;376;EUR;199,60;12;36;16;22;15;29;9777;EUR;36,10;10548;EUR;16,20;134322;EUR;4,60;388501;EUR;1,10;
Sunday;5.12.2010;3;7;10;29;32;42;43;1;EUR;5455079,70;8;EUR;33689,20;249;EUR;1180,70;609;EUR;168,90;3;42;29;7;10;32;12515;EUR;38,70;16086;EUR;14,60;197985;EUR;4,30;521062;EUR;1,10;
Wednesday;8.12.2010;1;3;9;39;42;43;22;JP;;762303,00;3;EUR;34938,80;106;EUR;1078,70;244;EUR;164,00;1;3;39;9;42;43;5783;EUR;32,60;6347;EUR;14,40;79600;EUR;4,20;217187;EUR;1,10;
Sunday;12.12.2010;7;10;32;33;39;43;5;JP;;2111622,80;3;EUR;61843,80;140;EUR;1445,60;437;EUR;162,10;7;39;43;10;33;32;7905;EUR;42,20;11938;EUR;13,50;131779;EUR;4,50;421050;EUR;1,10;
Wednesday;15.12.2010;3;9;26;36;38;44;33;3JP;;3602235,70;3;EUR;68319,70;209;EUR;1069,80;465;EUR;168,20;36;9;26;3;38;44;9195;EUR;40,10;12778;EUR;13,90;145115;EUR;4,50;428582;EUR;1,10;
Sunday;19.12.2010;16;20;26;34;37;43;24;4JP;;5587458,10;11;EUR;24815,20;243;EUR;1225,40;651;EUR;160,00;26;37;20;16;34;43;11276;EUR;43,50;14800;EUR;16,00;182804;EUR;4,70;568765;EUR;1,10;
Wednesday;22.12.2010;3;7;11;28;35;36;6;1;EUR;8905907,20;13;EUR;35098,90;447;EUR;1113,50;1.073;EUR;162,30;35;7;11;28;3;36;21499;EUR;38,20;27512;EUR;14,40;338351;EUR;4,30;964773;EUR;1,10;
Sunday;26.12.2010;2;11;12;13;24;26;1;JP;;926098,20;4;EUR;31834,60;167;EUR;831,80;493;EUR;98,60;2;26;24;12;13;11;6552;EUR;34,90;9316;EUR;11,90;98702;EUR;4,10;254503;EUR;1,10;
Wednesday;29.12.2010;5;6;22;32;42;43;25;DJP;;2304950,20;5;EUR;37918,40;161;EUR;1284,60;355;EUR;203,90;5;43;22;6;32;42;8008;EUR;42,60;9668;EUR;17,10;130762;EUR;4,60;369563;EUR;1,10;
Sunday;02.1.2011;10;12;21;24;36;42;40;3JP;;3920248,30;2;EUR;111051,70;233;EUR;1039,80;529;EUR;160,30;36;42;24;10;21;12;10668;EUR;37,40;12349;EUR;15,60;156705;EUR;4,50;449859;EUR;1,10;
Wednesday;05.1.2011;8;18;25;30;43;45;1;1;EUR;6114970,40;8;EUR;37721,70;239;EUR;1377,40;702;EUR;164,10;25;8;30;43;45;18;12349;EUR;43,90;17319;EUR;15,20;199979;EUR;4,80;624582;EUR;1,10;
Sunday;09.1.2011;2;4;12;14;24;40;21;JP;;964721,80;3;EUR;44216,40;187;EUR;773,80;366;EUR;138,30;12;2;24;40;14;4;7016;EUR;34,00;8519;EUR;13,50;100733;EUR;4,20;287469;EUR;1,10;
Wednesday;12.1.2011;3;6;10;12;19;38;15;2JP;;2306207,10;9;EUR;20494,90;251;EUR;801,60;511;EUR;137,80;6;38;3;19;10;12;10304;EUR;32,20;12291;EUR;13,00;150126;EUR;3,90;376658;EUR;1,10;
Sunday;16.1.2011;1;2;10;11;15;16;25;1;EUR;3987712,80;4;EUR;57801,70;260;EUR;970,00;539;EUR;163,70;10;11;2;16;1;15;11378;EUR;36,50;13758;EUR;14,60;169933;EUR;4,30;435957;EUR;1,10;
Wednesday;19.1.2011;3;19;23;35;43;44;24;JP;;869805,00;1;EUR;119598,10;92;EUR;1418,10;206;EUR;221,60;43;19;35;44;3;23;5041;EUR;42,70;6088;EUR;17,10;83756;EUR;4,50;243847;EUR;1,10;
