weekday;date;nr1asc;nr2asc;nr3asc;nr4asc;nr5asc;nr6asc;additionalNr;six;currency1;rateSix;fiveAddNr;currency2;rateFiveAddNr;five;currency3;rateFive;fourAddNr;currency4;rateFourAddNr;nr1;nr2;nr3;nr4;nr5;nr6;four;currency5;rateFour;threeAddNr;currency6;rateThreeAddNr;three;currency7;rateThree;nrOfAddNr;currency8;rateAddNr;
Wednesday;20.7.2011;25;32;37;41;42;45;35;JP;;779281,50;3;EUR;35717,00;78;EUR;1498,60;230;EUR;177,80;37;41;25;42;45;32;3667;EUR;52,50;5067;EUR;18,40;61871;EUR;5,50;210664;EUR;1,10;
Sunday;24.7.2011;4;12;14;22;32;44;15;2JP;;1990163,60;3;EUR;55498,70;258;EUR;704,00;379;EUR;167,70;14;12;4;22;32;44;8289;EUR;36,10;9078;EUR;16,00;121233;EUR;4,30;357418;EUR;1,10;
Wednesday;27.7.2011;2;6;9;20;24;33;19;1;EUR;3242111,80;7;EUR;24591,80;215;EUR;873,40;588;EUR;111,70;20;33;24;6;2;9;8973;EUR;34,50;12343;EUR;12,10;133377;EUR;4,10;354580;EUR;1,10;
Sunday;31.7.2011;1;7;17;31;37;45;34;2;EUR;500000,00;2;EUR;62732,60;224;EUR;611,00;267;EUR;179,40;45;31;1;37;17;7;5921;EUR;38,10;6790;EUR;16,10;89454;EUR;4,40;250439;EUR;1,10;
Wednesday;3.8.2011;3;24;27;31;36;43;21;1;EUR;1000000,00;1;EUR;104102,60;89;EUR;1276,00;243;EUR;163,50;36;3;43;24;31;27;4716;EUR;39,70;5978;EUR;15,10;72180;EUR;4,60;230180;EUR;1,10;
Sunday;7.8.2011;2;8;9;14;32;42;40;JP;;891472,90;1;EUR;122577,50;92;EUR;1453,40;282;EUR;165,90;14;8;32;9;42;2;5252;EUR;42,00;7209;EUR;14,80;85322;EUR;4,50;239081;EUR;1,10;
Wednesday;10.8.2011;5;21;24;31;35;40;6;2JP;;1943311,50;4;EUR;36156,90;128;EUR;1232,60;273;EUR;202,20;5;40;31;24;35;21;5866;EUR;44,30;7635;EUR;16,50;95432;EUR;4,80;330014;EUR;1,10;
Sunday;14.8.2011;2;3;23;31;32;36;39;2;EUR;1667883,90;5;EUR;38292,50;149;EUR;1401,80;390;EUR;187,40;3;36;23;2;32;31;6960;EUR;49,50;9950;EUR;16,70;122279;EUR;5,00;398523;EUR;1,10;
Wednesday;17.8.2011;7;10;11;21;26;35;5;JP;;708890,50;5;EUR;19494,40;111;EUR;957,90;331;EUR;112,40;26;7;35;10;11;21;5162;EUR;33,90;8067;EUR;10,50;81233;EUR;3,80;210290;EUR;1,10;
Sunday;21.8.2011;1;5;11;16;38;44;34;1;EUR;1907791,40;4;EUR;41212,20;139;EUR;1293,70;374;EUR;168,20;11;38;44;16;5;1;6821;EUR;43,50;8968;EUR;16,00;114658;EUR;4,60;323748;EUR;1,10;
Wednesday;24.8.2011;13;19;25;26;39;45;44;JP;;710368,40;2;EUR;48837,80;103;EUR;1034,50;198;EUR;188,30;39;13;19;25;26;45;4172;EUR;42,10;4829;EUR;17,60;67370;EUR;4,60;186086;EUR;1,10;
Sunday;28.8.2011;6;11;14;20;30;42;32;2JP; ;1885537,00;4;EUR;40396,40;142;EUR;1241,30;354;EUR;174,20;20;11;30;6;14;42;6849;EUR;42,40;8742;EUR;16,10;113058;EUR;4,50;315955;EUR;1,10;
Wednesday;31.8.2011;2;16;23;28;33;44;15;3JP;;3143931,00;6;EUR;28838,10;191;EUR;988,20;471;EUR;140,20;28;2;44;23;16;33;7861;EUR;39,60;10941;EUR;13,80;121766;EUR;4,50;359137;EUR;1,10;
Sunday;4.9.2011;5;18;23;32;35;40;44;1;EUR;4902802,20;2;EUR;120922,30;208;EUR;1268,40;560;EUR;164,80;35;32;23;18;40;5;10182;EUR;42,70;13036;EUR;16,10;162781;EUR;4,70;478325;EUR;1,10;
Wednesday;7.9.2011;1;7;10;26;33;42;6;JP;;810719,80;0;;111473,90;116;EUR;1048,30;254;EUR;167,50;1;26;10;7;33;42;5225;EUR;38,40;7464;EUR;13,00;82782;EUR;4,30;237692;EUR;1,10;
Sunday;11.9.2011;13;16;18;33;36;38;35;1;EUR;2116830,20;1;EUR;291064,10;126;EUR;1554,80;334;EUR;205,30;18;13;36;16;38;33;6940;EUR;46,50;9272;EUR;16,90;116332;EUR;4,90;357726;EUR;1,10;
Wednesday;14.9.2011;5;19;28;36;37;38;3;2;EUR;500000,00;2;EUR;53397,70;68;EUR;1713,20;262;EUR;155,60;5;37;19;36;38;28;4053;EUR;47,40;6328;EUR;14,70;67278;EUR;5,00;267805;EUR;1,10;
Sunday;18.9.2011;10;11;22;27;36;39;24;1;EUR;1000000,00;2;EUR;63408,20;137;EUR;1009,80;294;EUR;164,60;36;27;39;10;11;22;6113;EUR;37,30;7300;EUR;15,10;95134;EUR;4,20;251686;EUR;1,10;
Wednesday;21.9.2011;1;18;19;29;33;41;35;JP;;745401,70;4;EUR;25623,10;104;EUR;1075,00;183;EUR;213,80;33;18;19;41;1;29;4046;EUR;45,50;4724;EUR;18,90;68812;EUR;4,70;203880;EUR;1,10;
Sunday;25.9.2011;14;20;21;30;31;37;28;JP;;1933539,40;4;EUR;40842,20;121;EUR;1472,80;322;EUR;193,70;31;20;21;30;37;14;5699;EUR;51,50;8388;EUR;16,90;98064;EUR;5,30;362694;EUR;1,10;
Wednesday;28.9.2011;3;15;21;39;40;43;1;1;EUR;3193656,50;7;EUR;24752,30;163;EUR;1159,60;341;EUR;194,00;21;39;3;40;43;15;8279;EUR;37,60;9469;EUR;15,90;129211;EUR;4,20;363937;EUR;1,10;
Sunday;2.10.2011;3;8;13;18;22;27;41;1;EUR;1000000,00;5;EUR;25811,00;161;EUR;874,40;342;EUR;144,00;18;13;3;27;8;22;6827;EUR;34,00;7870;EUR;14,30;104531;EUR;3,90;241095;EUR;1,10;
Wednesday;5.10.2011;6;9;13;36;40;42;12;JP;;737987,20;1;EUR;101473,20;81;EUR;1366,60;204;EUR;189,90;6;42;13;40;9;36;4120;EUR;44,30;6105;EUR;14,50;68586;EUR;4,70;226515;EUR;1,10;
Sunday;9.10.2011;7;10;26;31;38;42;5;2JP;;1923208,60;6;EUR;27161,30;149;EUR;1193,10;379;EUR;164,10;26;31;42;10;7;38;6857;EUR;42,70;10636;EUR;13,30;111266;EUR;4,60;367942;EUR;1,10;
Wednesday;12.10.2011;4;20;23;29;31;40;9;3JP;;3201141,70;10;EUR;17571,50;161;EUR;1190,60;465;EUR;144,20;23;31;29;40;20;4;7120;EUR;44,40;11336;EUR;13,50;116203;EUR;4,80;402855;EUR;1,10;
Sunday;16.10.2011;1;6;15;29;33;35;36;4JP;;4970236,90;7;EUR;34750,00;230;EUR;1153,70;437;EUR;212,50;29;33;35;15;1;6;10581;EUR;41,30;14032;EUR;15,10;171982;EUR;4,50;480009;EUR;1,10;
Wednesday;19.10.2011;16;29;31;36;40;44;38;5JP;;7426726,50;3;EUR;112589,10;331;EUR;1113,20;795;EUR;162,20;40;16;44;36;29;31;14153;EUR;42,90;18179;EUR;16,20;220983;EUR;4,80;680780;EUR;1,10;
Sunday;23.10.2011;2;18;27;28;37;38;20;2;EUR;5507164,10;11;EUR;44845,00;468;EUR;1149,80;1.060;EUR;177,60;2;27;37;18;28;38;20056;EUR;44,20;27732;EUR;15,50;334587;EUR;4,70;1022984;EUR;1,10;
Wednesday;26.10.2011;4;11;26;35;36;42;13;JP;;715987,70;3;EUR;32816,10;89;EUR;1206,70;207;EUR;181,50;26;36;35;42;4;11;4035;EUR;43,90;5344;EUR;16,00;65415;EUR;4,80;210058;EUR;1,10;
Sunday;30.10.2011;4;13;14;25;29;38;45;2JP;;1994148,40;2;EUR;87873,50;150;EUR;1278,10;417;EUR;160,90;29;14;4;38;13;25;6983;EUR;45,30;9131;EUR;16,70;115744;EUR;4,80;366085;EUR;1,10;
Wednesday;2.11.2011;4;23;31;32;36;45;28;3JP;;3291147,40;4;EUR;44584,30;146;EUR;1332,50;335;EUR;203,20;4;45;23;32;31;36;6537;EUR;49,10;9380;EUR;16,50;111982;EUR;5,00;398630;EUR;1,10;
Sunday;6.11.2011;7;19;24;31;37;44;33;4JP;;5220071,80;2;EUR;132613,50;243;EUR;1190,60;596;EUR;169,90;37;19;44;7;31;24;11220;EUR;42,50;14688;EUR;15,70;176263;EUR;4,80;581502;EUR;1,10;
Wednesday;9.11.2011;8;9;10;27;34;39;17;2;EUR;3759741,30;7;EUR;45167,00;341;EUR;1011,40;1.065;EUR;113,30;39;8;34;27;10;9;15410;EUR;36,90;24753;EUR;11,10;238751;EUR;4,20;647680;EUR;1,10;
Sunday;13.11.2011;9;10;15;16;32;34;24;1;EUR;1000000,00;7;EUR;19578,30;110;EUR;1359,10;281;EUR;186,20;10;16;9;34;15;32;5513;EUR;44,70;7780;EUR;15,30;94853;EUR;4,60;268376;EUR;1,10;
Wednesday;16.11.2011;17;29;34;35;36;45;12;JP;;798191,10;0;;109751,20;72;EUR;1662,80;204;EUR;205,40;29;36;45;34;17;35;3973;EUR;49,70;5310;EUR;18,00;69294;EUR;5,00;262477;EUR;1,10;
Sunday;20.11.2011;1;7;8;25;37;39;36;1;EUR;2129238,80;7;EUR;41824,30;132;EUR;1512,50;314;EUR;222,50;37;25;7;1;8;39;7130;EUR;46,20;8924;EUR;17,80;123392;EUR;4,70;355727;EUR;1,10;
Wednesday;23.11.2011;10;18;25;38;39;41;24;JP;;772220,50;4;EUR;26545,00;74;EUR;1565,30;186;EUR;217,90;41;18;10;38;39;25;3802;EUR;50,20;5286;EUR;17,50;65182;EUR;5,20;220832;EUR;1,10;
Sunday;27.11.2011;2;4;9;13;15;28;6;2JP;;2026144,50;16;EUR;10775,90;226;EUR;832,20;666;EUR;98,80;28;9;4;2;13;15;8883;EUR;34,90;13522;EUR;11,10;133366;EUR;4,10;360291;EUR;1,10;
Wednesday;30.11.2011;6;27;37;38;41;44;36;3;EUR;1118497,00;4;EUR;45696,20;118;EUR;1689,80;376;EUR;185,60;41;27;37;38;44;6;7012;;46,90;9797;;16,20;119288;;4,90;356507;;1,10;
Sunday;4.12.2011;3;9;12;17;21;44;31;1;EUR;1000000,00;2;EUR;68726,80;193;EUR;776,90;437;EUR;120,00;44;21;3;12;9;17;8498;EUR;29,10;9174;EUR;13,00;117633;EUR;3,70;251369;EUR;1,10;
Wednesday;7.12.2011;7;19;32;34;35;36;27;JP;;810291,00;1;EUR;111415,00;90;EUR;1350,40;245;EUR;173,60;34;19;32;36;7;35;4776;EUR;41,90;6133;EUR;15,80;70832;EUR;5,00;250864;EUR;1,10;
Sunday;11.12.2011;3;6;12;18;22;27;25;1;EUR;2016850,90;4;EUR;41475,40;263;EUR;688,10;468;EUR;135,30;22;12;18;27;3;6;10030;EUR;29,70;10408;EUR;13,90;138005;EUR;3,80;316315;EUR;1,10;
Wednesday;14.12.2011;6;21;30;37;38;45;41;1;EUR;1000000,00;2;EUR;54301,30;83;EUR;1427,40;191;EUR;217,10;37;21;38;30;45;6;3895;EUR;50,10;5343;EUR;17,70;67249;EUR;5,10;206984;EUR;1,10;
Sunday;18.12.2011;19;24;35;40;42;45;23;1;EUR;1000000,00;1;EUR;130341,40;94;EUR;1512,60;252;EUR;197,40;19;45;24;35;42;40;4758;EUR;49,30;6393;EUR;17,70;82390;EUR;5,00;282721;EUR;1,10;
Wednesday;21.12.2011;6;11;23;28;33;36;25;JP;;791733,80;4;EUR;27215,80;102;EUR;1164,30;229;EUR;181,50;6;11;23;36;33;28;4997;EUR;39,20;5872;EUR;16,10;81638;EUR;4,20;208617;EUR;1,10;
Sunday;25.12.2011;5;8;24;34;35;36;7;2JP;;2172298,80;4;EUR;47456,90;160;EUR;1294,20;415;EUR;174,60;8;34;24;5;35;36;7730;EUR;44,20;10351;EUR;16,00;128299;EUR;4,70;444668;EUR;1,10;
Wednesday;28.12.2011;15;19;34;37;41;44;26;2;EUR;1730925,40;2;EUR;88656,70;133;EUR;1454,30;421;EUR;160,80;15;19;34;44;41;37;6747;EUR;47,30;10264;EUR;15,00;111588;EUR;5,00;403846;EUR;1,10;
Sunday;01.1.2012;10;14;21;24;38;44;23;JP;;1080050,80;4;EUR;37126,70;130;EUR;1246,20;281;EUR;201,70;44;24;10;14;21;38;6361;EUR;42,00;7643;EUR;16,90;99876;EUR;4,70;314491;EUR;1,10;
Wednesday;04.1.2012;11;13;17;21;22;33;36;2JP;;2254485,00;4;EUR;40371,10;207;EUR;851,00;416;EUR;148,20;22;21;33;11;17;13;8954;EUR;32,40;9922;EUR;14,20;130715;EUR;3,90;307383;EUR;1,10;
Sunday;08.1.2012;19;21;27;37;39;42;36;1;EUR;3652294,00;3;EUR;64066,20;194;EUR;1080,70;401;EUR;183,00;39;19;42;37;21;27;8121;EUR;42,60;10571;EUR;15,80;133280;EUR;4,60;373658;EUR;1,10;
Wednesday;11.1.2012;4;7;9;10;23;30;16;1;EUR;1000000,00;7;EUR;16128,70;171;EUR;720,20;371;EUR;116,10;7;4;30;9;23;10;7092;EUR;28,60;8317;EUR;11,80;94673;EUR;3,80;227627;EUR;1,10;
Sunday;15.1.2012;4;19;28;35;38;45;36;JP;;965735,40;2;EUR;66394,30;100;EUR;1448,60;291;EUR;174,20;45;38;19;35;4;28;5428;EUR;44,00;6916;EUR;16,70;89773;EUR;4,70;261130;EUR;1,10;
Wednesday;18.1.2012;16;18;25;28;39;42;7;1;EUR;2098428,40;7;EUR;22249,30;153;EUR;1110,40;418;EUR;142,20;18;39;16;42;28;25;6552;EUR;42,70;9281;EUR;14,60;102817;EUR;4,80;368840;EUR;1,10;
Sunday;22.1.2012;7;9;10;11;17;25;45;1;EUR;1000000,00;4;EUR;30914,80;194;EUR;695,30;331;EUR;142,60;11;25;9;10;17;7;7988;EUR;27,80;7398;EUR;14,50;106607;EUR;3,70;234388;EUR;1,10;
Wednesday;25.1.2012;2;3;6;31;40;42;22;JP;;778735,70;1;EUR;107076,10;86;EUR;1358,20;247;EUR;165,50;40;6;2;3;42;31;4034;EUR;47,70;6183;EUR;15,10;73192;EUR;4,60;221549;EUR;1,10;
Sunday;29.1.2012;26;27;30;32;38;40;22;1;EUR;2019133,20;4;EUR;42638,60;127;EUR;1465,00;340;EUR;191,50;38;32;27;26;30;40;6342;EUR;48,40;9465;EUR;15,70;109394;EUR;4,90;364229;EUR;1,10;
Wednesday;01.2.2012;5;16;17;21;23;28;7;1;EUR;1000000,00;3;EUR;35595,10;110;EUR;1059,00;330;EUR;123,50;28;17;5;16;21;23;5093;EUR;37,70;8425;EUR;11,00;79388;EUR;4,30;231364;EUR;1,10;
Sunday;05.2.2012;20;25;28;29;39;42;18;JP;;903071,30;1;EUR;124172,30;85;EUR;1593,60;435;EUR;108,90;42;25;39;29;28;20;4903;EUR;45,50;6880;EUR;15,70;82224;EUR;4,80;245709;EUR;1,10;
Wednesday;08.2.2012;6;9;19;21;22;24;16;2;EUR;973825,40;2;EUR;71814,80;175;EUR;895,30;379;EUR;144,60;24;6;22;21;9;19;7890;EUR;32,70;8750;EUR;14,30;114208;EUR;4,00;292724;EUR;1,10;
Sunday;12.2.2012;1;5;6;12;41;44;22;JP;;882718,80;2;EUR;60686,90;98;EUR;1351,10;302;EUR;153,40;44;41;12;6;1;5;5311;EUR;41,10;8020;EUR;13,20;90226;EUR;4,30;251165;EUR;1,10;
Wednesday;15.2.2012;2;5;7;12;13;23;32;1;EUR;1912710,90;3;EUR;47207,90;222;EUR;695,90;358;EUR;151,00;13;5;23;7;2;12;8691;EUR;29,30;8072;EUR;15,30;120139;EUR;3,70;276282;EUR;1,10;
Sunday;19.2.2012;5;14;15;32;38;43;37;JP;;875606,60;5;EUR;24079,10;92;EUR;1427,60;215;EUR;213,80;15;38;14;43;5;32;4719;EUR;45,90;5792;EUR;18,10;78213;EUR;4,90;218505;EUR;1,10;
Wednesday;22.2.2012;2;3;6;31;41;44;34;2JP;;1914114,50;3;EUR;47598,20;101;EUR;1542,30;271;EUR;201,10;6;2;44;41;31;3;5524;EUR;46,50;7105;EUR;17,50;96582;EUR;4,70;289466;EUR;1,10;
Sunday;26.2.2012;1;15;17;20;25;42;24;3JP;;3343118,80;2;EUR;98244,00;149;EUR;1438,50;393;EUR;190,80;1;15;25;20;17;42;7476;EUR;47,30;10229;EUR;16,70;128513;EUR;4,80;403827;EUR;1,10;
Wednesday;29.2.2012;5;17;27;37;41;43;16;4JP;;5126483,30;10;EUR;24521,20;320;EUR;835,90;620;EUR;151,00;41;5;17;37;27;43;12768;EUR;34,50;14181;EUR;15,00;179193;EUR;4,30;525812;EUR;1,10;
Sunday;04.3.2012;4;5;13;19;31;37;45;2;EUR;3772191,30;9;EUR;36940,10;296;EUR;1225,20;731;EUR;173,60;19;31;13;5;4;37;14462;EUR;41,30;18279;EUR;15,80;227007;EUR;4,60;683192;EUR;1,10;
Wednesday;07.3.2012;8;16;21;23;32;43;36;1;EUR;1000000,00;2;EUR;53645,20;132;EUR;886,60;275;EUR;148,90;43;32;21;16;23;8;4920;EUR;39,20;6419;EUR;14,50;76105;EUR;4,50;202925;EUR;1,10;
Sunday;11.3.2012;2;16;17;33;35;45;1;1;EUR;1000000,00;2;EUR;64757,40;115;EUR;1228,50;304;EUR;162,60;2;33;35;45;16;17;5569;EUR;41,80;7278;EUR;15,50;90101;EUR;4,50;272787;EUR;1,10;
Wednesday;14.3.2012;9;10;14;18;24;26;6;2;EUR;500000,00;4;EUR;26585,90;127;EUR;913,40;372;EUR;109,10;24;9;18;26;14;10;5250;EUR;36,40;8284;EUR;11,20;79693;EUR;4,20;222910;EUR;1,10;
Sunday;18.3.2012;4;13;21;24;32;45;10;JP; ;914331,40;2;EUR;62860,20;117;EUR;1172,20;331;EUR;145,00;13;45;24;4;21;32;5249;EUR;43,10;7645;EUR;14,30;83965;EUR;4,70;284935;EUR;1,10;
Wednesday;21.3.2012;5;8;14;24;39;44;42;2JP;;1964665,60;8;EUR;18052,60;127;EUR;1240,50;321;EUR;171,70;39;14;8;44;24;5;6105;EUR;42,50;7861;EUR;16,00;100824;EUR;4,50;279616;EUR;1,10;
Sunday;25.3.2012;6;8;10;32;44;45;29;2;EUR;1693192,10;0;EUR;195486,30;179;EUR;1191,30;476;EUR;156,80;6;44;8;45;32;10;8165;EUR;43,00;11536;EUR;14,70;135553;EUR;4,60;416447;EUR;1,10;
Wednesday;28.3.2012;9;19;20;21;23;44;25;1;EUR;1000000,00;4;EUR;73815,80;85;EUR;1280,50;197;EUR;193,30;19;9;23;44;21;20;4265;EUR;42,10;5012;EUR;17,30;69907;EUR;4,50;195541;EUR;1,10;
Sunday;01.4.2012;11;12;24;26;37;43;39;1;EUR;1000000,00;5;EUR;24851,90;103;EUR;1316,00;284;EUR;167,00;37;43;11;26;12;24;4761;EUR;46,90;6970;EUR;15,50;81690;EUR;4,80;252279;EUR;1,10;
Wednesday;04.4.2012;6;19;30;31;36;41;1;1;EUR;1000000,00;4;EUR;25258,00;57;EUR;1933,60;193;EUR;199,80;41;36;31;30;6;19;3659;EUR;49,70;5551;EUR;15,80;63735;EUR;5,00;214724;EUR;1,10;
Sunday;08.4.2012;6;14;16;42;43;44;2;JP;;926214,90;3;EUR;42451,50;95;EUR;1462,40;248;EUR;196,00;14;16;44;6;43;42;4572;EUR;50,10;6800;EUR;16,30;80646;EUR;5,00;278948;EUR;1,10;
Wednesday;11.4.2012;1;20;24;26;30;35;34;2JP;;1864182,20;3;EUR;42990,10;75;EUR;1875,90;224;EUR;219,80;20;1;30;35;26;24;4654;EUR;49,80;5867;EUR;19,10;82818;EUR;4,90;266189;EUR;1,10;
Sunday;15.4.2012;2;5;20;24;27;34;42;3JP;;3315186,80;2;EUR;99756,50;187;EUR;1163,90;475;EUR;160,30;34;20;24;2;27;5;8757;;41,00;11126;EUR;15,60;142962;EUR;4,40;390993;EUR;1,10;
Wednesday;18.4.2012;7;10;12;23;39;40;32;4JP;;5022258,20;6;EUR;39120,30;236;EUR;1085,00;543;EUR;165,00;7;10;23;40;12;39;10594;EUR;39,80;13744;EUR;14,90;172661;EUR;4,30;456349;EUR;1,10;
Sunday;22.4.2012;26;27;32;34;37;43;25;1;EUR;7354985,50;5;EUR;64150,00;254;EUR;1377,50;697;EUR;175,70;26;32;37;34;27;43;12868;EUR;44,80;16213;EUR;17,20;215746;EUR;4,70;667782;EUR;1,10;
Wednesday;25.4.2012;1;30;39;41;43;45;3;JP;;728412,90;1;EUR;100156,70;122;EUR;895,50;254;EUR;150,50;30;45;39;41;1;43;4107;EUR;43,80;6216;EUR;14,00;62815;EUR;5,10;258917;EUR;1,10;
Sunday;29.4.2012;2;3;5;16;21;41;17;2;EUR;950252,10;2;EUR;80581,20;144;EUR;1220,90;419;EUR;146,80;5;21;16;3;2;41;7267;EUR;39,90;10835;EUR;12,90;121979;EUR;4,20;344787;EUR;1,10;
Wednesday;02.5.2012;4;9;13;15;22;44;19;2;EUR;500000,00;5;EUR;19487,00;122;EUR;871,20;288;EUR;129,10;9;13;22;15;4;44;5140;EUR;34,10;6780;EUR;12,50;74194;EUR;4,20;203289;EUR;1,10;
Sunday;06.5.2012;10;23;25;26;27;40;35;JP;;898490,00;2;EUR;61771,10;115;EUR;1171,90;256;EUR;184,20;27;40;26;10;25;23;5440;EUR;40,80;6867;EUR;15,70;86769;EUR;4,50;229936;EUR;1,10;
Wednesday;09.5.2012;2;10;15;27;28;34;5;2JP;;1958011,00;5;EUR;29136,80;137;EUR;1160,00;503;EUR;110,50;10;34;2;28;27;15;7269;EUR;36,00;10584;EUR;12,00;107659;EUR;4,30;322010;EUR;1,10;
Sunday;13.5.2012;31;32;35;36;38;43;41;1;EUR;3446143,60;4;EUR;51154,50;274;EUR;814,60;553;EUR;141,20;31;43;35;32;36;38;8992;EUR;40,90;10507;EUR;16,90;126286;EUR;5,10;408881;EUR;1,10;
Wednesday;16.5.2012;1;9;10;22;25;32;36;JP;;777063,70;5;EUR;21369,20;94;EUR;1239,90;228;EUR;178,90;9;10;22;1;32;25;4694;EUR;40,90;5690;EUR;16,30;78372;EUR;4,30;202246;EUR;1,10;
Sunday;20.5.2012;3;6;15;29;30;38;27;1;EUR;1888682,60;6;EUR;25474,60;160;EUR;1042,10;461;EUR;126,50;30;38;29;3;6;15;7041;EUR;39,00;10440;EUR;12,70;108370;EUR;4,50;335150;EUR;1,10;
Wednesday;23.5.2012;1;13;18;29;30;33;10;1;EUR;1000000,00;3;EUR;33716,30;96;EUR;1149,40;279;EUR;138,40;18;33;13;1;30;29;4171;EUR;43,60;6354;EUR;13,80;68565;EUR;4,70;227865;EUR;1,10;
Sunday;27.5.2012;13;19;22;30;42;45;23;JP;EUR;867646,10;0;;119301,30;103;EUR;1263,50;228;EUR;199,70;19;42;45;30;22;13;4528;EUR;47,40;5883;EUR;17,60;77883;EUR;4,90;255904;EUR;1,10;
Wednesday;30.5.2012;13;17;20;23;32;34;14;1;EUR;1809353,50;0;;248786,10;97;EUR;1456,20;253;EUR;195,40;23;13;20;17;34;32;5387;EUR;43,20;6936;EUR;16,20;88879;EUR;4,60;263770;EUR;1,10;
Sunday;03.6.2012;2;10;13;21;31;34;32;JP;;922372,40;3;EUR;125204,10;140;EUR;988,20;254;EUR;190,60;2;21;10;31;13;34;5832;EUR;39,10;6679;EUR;16,50;90745;EUR;4,40;246420;EUR;1,10;
Wednesday;06.6.2012;8;9;16;24;27;34;21;2JP;;1980705,80;5;EUR;29104,10;178;EUR;891,80;434;EUR;128,00;24;27;9;8;34;16;7868;EUR;33,20;9787;EUR;12,90;114200;EUR;4,00;304857;EUR;1,10;
Sunday;10.6.2012;2;7;17;21;26;41;11;3;EUR;1085056,20;7;EUR;25034,00;200;EUR;955,80;618;EUR;108,20;21;41;26;2;7;17;8928;EUR;35,30;13754;EUR;11,10;133743;EUR;4,10;373459;EUR;1,10;
Wednesday;13.6.2012;2;8;15;17;32;45;13;JP;;735417,20;1;EUR;101119,80;80;EUR;1378,90;194;EUR;199,00;2;32;17;15;8;45;4350;EUR;41,80;5449;EUR;16,10;71758;EUR;4,50;214475;EUR;1,10;
Sunday;17.6.2012;8;9;12;23;35;37;14;2JP;;1867799,60;6;EUR;25950,40;119;EUR;1427,30;272;EUR;218,50;23;12;35;8;37;9;6465;EUR;43,30;8602;EUR;15,70;108155;EUR;4,60;314522;EUR;1,10;
Wednesday;20.6.2012;3;4;5;13;15;34;44;2;EUR;1524081,40;1;EUR;162299,90;184;EUR;962,20;329;EUR;188,30;5;34;15;4;13;3;7156;EUR;40,80;9324;EUR;15,10;120650;EUR;4,30;311927;EUR;1,10;
Sunday;24.6.2012;6;9;18;19;22;28;38;1;EUR;1000000,00;8;EUR;15037,90;177;EUR;741,40;363;EUR;126,50;22;9;19;28;6;18;6957;EUR;31,10;7462;EUR;14,00;100581;EUR;3,80;225334;EUR;1,10;
Wednesday;27.6.2012;9;17;18;21;35;42;19;JP;;722862,30;2;EUR;49696,70;98;EUR;1106,40;196;EUR;193,60;18;35;17;42;9;21;4486;EUR;39,80;5762;EUR;15,00;71266;EUR;4,40;213659;EUR;1,10;
Sunday;01.7.2012;13;20;22;28;36;37;8;2JP;;1814372,60;3;EUR;50027,50;107;EUR;1530,10;314;EUR;182,40;22;13;28;36;20;37;5408;EUR;49,90;8153;EUR;16,00;92958;EUR;5,10;344160;EUR;1,10;
Wednesday;04.7.2012;6;12;16;17;19;29;36;4;EUR;747559,40;6;EUR;26946,90;197;EUR;895,30;328;EUR;188,20;19;6;16;12;17;29;8027;EUR;36,20;9036;EUR;15,60;125403;EUR;4,10;306941;EUR;1,10;
Sunday;08.7.2012;3;5;19;34;41;42;11;JP;;875199,10;1;EUR;120339,80;100;EUR;1312,70;294;EUR;156,20;5;34;3;41;19;42;4787;EUR;45,20;7849;EUR;13,30;82153;EUR;4,60;272041;EUR;1,10;
Wednesday;11.7.2012;9;15;17;20;24;35;7;1;EUR;1892821,60;3;EUR;46641,00;101;EUR;1511,30;345;EUR;154,80;15;9;17;24;20;35;5780;EUR;43,50;8749;EUR;13,90;96990;EUR;4,60;324195;EUR;1,10;
Sunday;15.7.2012;6;10;21;28;30;31;23;JP;;874862,40;3;EUR;40097,80;153;EUR;857,70;301;EUR;152,50;10;6;21;28;30;31;6127;EUR;35,30;6884;EUR;15,20;92129;EUR;4,10;248887;EUR;1,10;
Wednesday;18.7.2012;11;29;31;34;39;41;16;2JP;;1892468,00;0;;139920,70;126;EUR;1211,40;350;EUR;152,60;29;41;11;31;39;34;5920;EUR;42,50;7864;EUR;15,50;93826;EUR;4,70;292756;EUR;1,10;
Sunday;22.7.2012;6;11;15;17;22;24;37;1;EUR;3243054,80;10;EUR;32562,60;200;EUR;1012,90;358;EUR;198,00;17;15;11;6;22;24;8573;EUR;38,90;9497;EUR;17,00;137877;EUR;4,30;340877;EUR;1,10;
Wednesday;25.7.2012;4;14;16;18;29;42;44;2;EUR;500000,00;1;EUR;96438,60;90;EUR;1168,90;249;EUR;147,80;14;42;29;4;18;16;4096;EUR;42,30;5755;EUR;14,60;65356;EUR;4,70;188594;EUR;1,10;
Sunday;29.7.2012;7;15;18;24;37;43;6;JP;;827257,90;2;EUR;56873,90;85;EUR;1459,80;237;EUR;183,20;15;37;43;24;7;18;4443;EUR;46,00;6186;EUR;16,00;71066;EUR;5,10;264511;EUR;1,10;
Wednesday;01.8.2012;1;7;9;32;34;43;29;2JP;;1802689,90;4;EUR;33530,40;88;EUR;1662,60;277;EUR;184,80;1;32;9;43;7;34;5259;EUR;45,90;7572;EUR;15,40;92794;EUR;4,60;277141;EUR;1,10;
