datum;aufsteigend;z1asc;z2asc;z3asc;z4asc;z5asc;z6asc;zz;zusatzzahl;sechser;;quoteSechser;fuenferZz;;quoteFuenferZz;fuenfer;;quoteFuenfer;viererZz;;quoteViererZz;vierer;;quoteVierer;dreierZz;;quoteDreierZz;dreier;;quoteDreier;ZZ;nrOfZz;;quoteZz;
05.03.2017;aufsteigend;9;20;22;27;40;45;ZZ;4;1;EUR;1.000.000,00;4;EUR;30.335,70;121;EUR;1.094,00;295;EUR;134,60;5.077;EUR;43,40;7.209;EUR;13,70;81.794;EUR;4,80;ZZ;243.139;EUR;1,20;
08.03.2017;aufsteigend;9;13;19;21;27;29;ZZ;7;JP;;740.998,30;10;EUR;10.188,70;131;EUR;848,40;499;EUR;66,80;5.182;EUR;35,70;9.172;EUR;9,00;76.279;EUR;4,30;ZZ;201.736;EUR;1,20;
12.03.2017;aufsteigend;8;12;18;24;25;44;ZZ;19;DJP;;1.857.718,00;5;EUR;30.709,70;114;EUR;1.469,30;339;EUR;148,20;6.268;EUR;44,50;8.229;EUR;15,20;100.204;EUR;5,00;ZZ;299.963;EUR;1,20;
15.03.2017;aufsteigend;1;14;18;27;30;40;ZZ;12;3JP;;3.034.710,30;6;EUR;26.972,70;170;EUR;1.038,50;315;EUR;168,10;6.338;EUR;46,40;8.762;EUR;15,10;100.641;EUR;5,20;ZZ;324.667;EUR;1,20;
19.03.2017;aufsteigend;5;11;16;19;27;33;ZZ;39;2;EUR;2.274.690,30;6;EUR;34.711,10;233;EUR;975,10;564;EUR;120,80;9.928;EUR;38,10;12.386;EUR;13,70;151.665;EUR;4,50;ZZ;377.270;EUR;1,20;
22.03.2017;aufsteigend;14;23;32;38;44;45;ZZ;33;JP;;746.590,50;2;EUR;51.328,10;86;EUR;1.302,10;220;EUR;152,70;3.758;EUR;49,60;5.087;EUR;16,50;57.661;EUR;5,80;ZZ;202.239;EUR;1,20;
26.03.2017;aufsteigend;3;24;28;37;40;42;ZZ;27;DJP;;1.838.941,60;2;EUR;75.099,10;122;EUR;1.343,00;295;EUR;166,60;5.322;EUR;51,30;7.848;EUR;15,60;90.634;EUR;5,40;ZZ;319.343;EUR;1,20;
29.03.2017;aufsteigend;5;28;32;33;34;43;ZZ;36;1;EUR;2.970.846,00;1;EUR;155.636,80;104;EUR;1.632,50;317;EUR;160,60;5.655;EUR;50,00;8.248;EUR;15,40;95.231;EUR;5,30;ZZ;274.353;EUR;1,20;
02.04.2017;aufsteigend;2;3;19;31;34;39;ZZ;16;1;EUR;1.000.000,00;1;EUR;119.924,60;65;EUR;2.012,70;214;EUR;183,40;3.994;EUR;54,50;6.156;EUR;15,90;73.280;EUR;5,30;ZZ;224.787;EUR;1,20;
05.04.2017;aufsteigend;4;8;22;25;26;31;ZZ;13;JP;;724.911,10;4;EUR;24.918,80;90;EUR;1.208,10;267;EUR;122,10;4.173;EUR;43,40;6.127;EUR;13,30;66.824;EUR;4,90;ZZ;188.654;EUR;1,20;
09.04.2017;aufsteigend;3;13;19;29;40;43;ZZ;4;DJP;;1.807.674,80;5;EUR;29.775,90;143;EUR;1.135,70;320;EUR;152,20;6.167;EUR;43,80;8.246;EUR;14,70;98.072;EUR;4,90;ZZ;303.954;EUR;1,20;
12.04.2017;aufsteigend;2;6;13;30;35;44;ZZ;1;1;EUR;2.938.442,10;2;EUR;77.740,20;117;EUR;1.449,70;271;EUR;187,70;5.723;EUR;49,30;7.763;EUR;16,30;96.433;EUR;5,30;ZZ;298.684;EUR;1,20;
16.04.2017;aufsteigend;3;7;20;31;39;43;ZZ;19;1;EUR;1.000.000,00;5;EUR;24.206,30;117;EUR;1.128,50;298;EUR;132,90;5.376;EUR;40,90;7.315;EUR;13,50;80.375;EUR;4,90;ZZ;233.371;EUR;1,20;
19.04.2017;aufsteigend;10;18;25;30;33;41;ZZ;45;1;EUR;1.000.000,00;3;EUR;29.970,60;86;EUR;1.140,50;224;EUR;131,30;3.592;EUR;45,50;4.544;EUR;16,10;55.339;EUR;5,30;ZZ;165.603;EUR;1,20;
23.04.2017;aufsteigend;1;4;10;21;32;44;ZZ;12;JP;;823.699,30;2;EUR;56.629,30;111;EUR;1.113,10;244;EUR;151,90;4.682;EUR;43,90;6.712;EUR;13,80;73.345;EUR;5,00;ZZ;225.367;EUR;1,20;
26.04.2017;aufsteigend;5;6;11;19;27;44;ZZ;17;DJP;;1.745.716,40;4;EUR;31.694,30;152;EUR;909,80;398;EUR;104,20;6.755;EUR;34,10;8.621;EUR;12,00;95.164;EUR;4,30;ZZ;243.453;EUR;1,20;
30.04.2017;aufsteigend;20;28;30;32;40;41;ZZ;19;3JP;;3.004.992,50;7;EUR;24.735,70;189;EUR;999,40;434;EUR;130,50;7.339;EUR;42,80;8.221;EUR;17,20;109.314;EUR;5,20;ZZ;360.001;EUR;1,20;
03.05.2017;aufsteigend;3;8;27;32;42;43;ZZ;15;4JP;;4.271.130,00;4;EUR;43.523,40;115;EUR;1.651,40;390;EUR;146,00;6.961;EUR;45,40;9.737;EUR;14,60;114.180;EUR;5,00;ZZ;326.401;EUR;1,20;
07.05.2017;aufsteigend;12;16;32;37;42;45;ZZ;29;3;EUR;2.034.734,50;5;EUR;50.409,50;174;EUR;1.580,20;480;EUR;171,80;9.015;EUR;50,80;12.778;EUR;16,10;149.581;EUR;5,50;ZZ;495.693;EUR;1,20;
10.05.2017;aufsteigend;1;5;16;29;35;39;ZZ;45;1;EUR;1.000.000,00;JP;;100.403,00;86;EUR;1.273,60;193;EUR;170,20;3.832;EUR;47,60;5.404;EUR;15,20;63.597;EUR;5,10;ZZ;177.856;EUR;1,20;
14.05.2017;aufsteigend;5;8;9;32;33;35;ZZ;2;JP;;855.261,30;4;EUR;54.500,30;92;EUR;1.394,40;225;EUR;171,00;4.627;EUR;46,20;6.478;EUR;14,80;78.361;EUR;4,90;ZZ;224.305;EUR;1,20;
17.05.2017;aufsteigend;6;17;20;24;25;34;ZZ;16;DJP;;1.782.264,40;3;EUR;42.487,60;117;EUR;1.188,40;282;EUR;147,90;5.065;EUR;45,70;6.443;EUR;16,10;79.570;EUR;5,20;ZZ;244.566;EUR;1,20;
21.05.2017;aufsteigend;12;25;26;27;29;35;ZZ;19;1;EUR;3.004.829,00;4;EUR;42.025,60;120;EUR;1.528,20;303;EUR;181,50;6.367;EUR;48,00;8.854;EUR;15,50;104.924;EUR;5,20;ZZ;331.375;EUR;1,20;
24.05.2017;aufsteigend;8;13;28;29;31;40;ZZ;25;1;EUR;1.000.000,00;1;EUR;102.075,80;96;EUR;1.159,90;183;EUR;182,50;3.986;EUR;46,50;4.859;EUR;17,10;64.639;EUR;5,10;ZZ;180.196;EUR;1,20;
28.05.2017;aufsteigend;16;20;23;33;37;44;ZZ;26;JP;;779.386,90;2;EUR;53.582,80;105;EUR;1.113,40;203;EUR;172,70;4.027;EUR;48,30;5.038;EUR;17,40;62.195;EUR;5,60;ZZ;222.867;EUR;1,20;
31.05.2017;aufsteigend;3;10;11;13;28;43;ZZ;5;DJP;;1.691.292,60;6;EUR;20.897,80;136;EUR;1.005,70;390;EUR;105,20;5.973;EUR;38,10;9.262;EUR;11,00;90.839;EUR;4,50;ZZ;248.233;EUR;1,20;
04.06.2017;aufsteigend;6;14;30;37;42;43;ZZ;13;3JP;;2.929.168,10;2;EUR;85.103,90;131;EUR;1.417,40;300;EUR;185,60;5.863;EUR;52,70;7.873;EUR;17,60;97.859;EUR;5,70;ZZ;336.832;EUR;1,20;
07.06.2017;aufsteigend;1;6;10;12;33;34;ZZ;19;1;EUR;4.175.210,80;6;EUR;28.555,10;158;EUR;1.182,90;473;EUR;118,50;7.113;EUR;43,70;10.880;EUR;12,80;113.957;EUR;4,90;ZZ;322.673;EUR;1,20;
11.06.2017;aufsteigend;2;6;21;27;34;45;ZZ;16;JP;;843.894,30;2;EUR;58.017,70;98;EUR;1.291,60;282;EUR;134,60;4.706;EUR;44,80;6.720;EUR;14,10;76.912;EUR;4,90;ZZ;213.162;EUR;1,20;
14.06.2017;aufsteigend;7;12;17;27;37;45;ZZ;25;2;EUR;905.200,30;3;EUR;44.298,20;386;EUR;375,50;316;EUR;137,60;7.861;EUR;30,70;6.989;EUR;15,50;92.968;EUR;4,70;ZZ;231.154;EUR;1,20;
18.06.2017;aufsteigend;1;6;18;22;31;33;ZZ;41;JP;;793.607,90;1;EUR;109.121,00;80;EUR;1.488,00;214;EUR;166,80;4.382;EUR;45,20;5.390;EUR;16,50;70.421;EUR;5,00;ZZ;191.953;EUR;1,20;
21.06.2017;aufsteigend;9;10;12;14;44;45;ZZ;6;DJP;;1.714.970,50;5;EUR;25.337,40;108;EUR;1.279,60;319;EUR;129,90;4.737;EUR;48,60;7.851;EUR;13,20;79.130;EUR;5,20;ZZ;244.285;EUR;1,20;
25.06.2017;aufsteigend;4;17;18;24;36;41;ZZ;38;3JP;;2.872.635,40;JP;;159.178,90;152;EUR;1.142,40;378;EUR;137,80;6.164;EUR;46,90;8.802;EUR;14,70;98.546;EUR;5,30;ZZ;278.180;EUR;1,20;
28.06.2017;aufsteigend;5;13;16;31;34;39;ZZ;6;1;EUR;4.159.887,10;2;EUR;168.088,00;147;EUR;1.313,50;321;EUR;180,40;6.803;EUR;47,30;8.901;EUR;16,20;110.771;EUR;5,20;ZZ;367.511;EUR;1,20;
02.07.2017;aufsteigend;1;7;16;18;21;22;ZZ;2;1;EUR;1.000.000,00;2;EUR;59.430,90;94;EUR;1.379,40;295;EUR;131,80;4.876;EUR;44,30;7.041;EUR;13,80;77.924;EUR;5,00;ZZ;224.613;EUR;1,20;
05.07.2017;aufsteigend;11;19;27;35;37;38;ZZ;10;JP;;712.545,60;4;EUR;24.493,70;105;EUR;1.017,90;195;EUR;164,40;4.003;EUR;44,50;5.138;EUR;15,60;62.414;EUR;5,10;ZZ;215.196;EUR;1,20;
09.07.2017;aufsteigend;7;8;21;30;33;44;ZZ;37;DJP;;1.752.825,40;3;EUR;47.679,40;114;EUR;1.368,70;304;EUR;153,90;6.105;EUR;42,50;7.026;EUR;16,60;97.663;EUR;4,80;ZZ;235.728;EUR;1,20;
12.07.2017;aufsteigend;2;10;17;21;25;45;ZZ;29;3JP;;2.820.022,60;3;EUR;48.913,20;133;EUR;1.203,60;327;EUR;146,80;6.401;EUR;41,60;8.377;EUR;14,30;98.353;EUR;4,90;ZZ;278.487;EUR;1,20;
16.07.2017;aufsteigend;12;14;18;23;28;37;ZZ;39;3;EUR;1.422.810,90;3;EUR;66.385,40;171;EUR;1.270,50;366;EUR;178,00;7.591;EUR;47,70;9.789;EUR;16,60;124.321;EUR;5,20;ZZ;381.293;EUR;1,20;
19.07.2017;aufsteigend;4;6;16;34;36;43;ZZ;32;1;EUR;1.000.000,00;JP;;96.949,40;79;EUR;1.338,70;240;EUR;132,20;3.752;EUR;46,90;4.956;EUR;16,00;59.786;EUR;5,30;ZZ;172.998;EUR;1,20;
23.07.2017;aufsteigend;17;23;24;30;32;34;ZZ;21;JP;;812.553,20;3;EUR;69.558,50;76;EUR;1.603,70;221;EUR;165,40;3.740;EUR;54,30;5.740;EUR;15,90;65.329;EUR;5,60;ZZ;225.166;EUR;1,20;
26.07.2017;aufsteigend;1;17;23;24;30;44;ZZ;11;DJP;;1.725.108,90;5;EUR;25.095,20;94;EUR;1.456,20;268;EUR;153,20;4.534;EUR;50,30;6.687;EUR;15,30;73.711;EUR;5,60;ZZ;258.811;EUR;1,20;
30.07.2017;aufsteigend;8;12;19;24;35;44;ZZ;22;3JP;;2.904.326,00;4;EUR;40.535,50;168;EUR;1.052,80;390;EUR;136,00;6.775;EUR;43,50;9.089;EUR;14,50;105.470;EUR;5,00;ZZ;311.201;EUR;1,20;
02.08.2017;aufsteigend;7;8;29;34;37;41;ZZ;24;1;EUR;4.218.113,00;2;EUR;90.322,80;119;EUR;1.656,00;330;EUR;179,10;6.458;EUR;50,80;8.685;EUR;17,00;109.657;EUR;5,40;ZZ;335.677;EUR;1,20;
06.08.2017;aufsteigend;4;15;16;19;27;39;ZZ;43;JP;;826.548,60;5;EUR;22.730,00;115;EUR;1.078,10;249;EUR;149,30;5.229;EUR;39,50;6.392;EUR;14,50;80.216;EUR;4,60;ZZ;196.078;EUR;1,20;
09.08.2017;aufsteigend;3;10;25;36;39;42;ZZ;31;DJP;;1.770.277,60;1;EUR;129.762,70;142;EUR;996,80;218;EUR;194,80;5.088;EUR;46,30;6.190;EUR;17,10;82.046;EUR;5,20;ZZ;227.044;EUR;1,20;
13.08.2017;aufsteigend;5;7;18;29;32;38;ZZ;43;1;EUR;2.969.016,30;10;EUR;16.482,60;148;EUR;1.214,90;393;EUR;137,20;6.503;EUR;46,00;8.396;EUR;16,00;105.179;EUR;5,10;ZZ;295.317;EUR;1,20;
16.08.2017;aufsteigend;21;22;23;26;28;34;ZZ;8;JP;;677.463,70;2;EUR;46.575,60;101;EUR;1.006,10;190;EUR;160,40;3.748;EUR;45,10;5.434;EUR;14,00;57.402;EUR;5,30;ZZ;191.991;EUR;1,20;
20.08.2017;aufsteigend;7;13;17;18;32;37;ZZ;20;1;EUR;1.718.397,50;4;EUR;35.782,00;123;EUR;1.269,40;237;EUR;197,60;5.632;EUR;46,20;7.115;EUR;16,40;92.012;EUR;5,10;ZZ;277.548;EUR;1,20;
23.08.2017;aufsteigend;19;23;24;38;39;41;ZZ;37;1;EUR;1.000.000,00;2;EUR;48.518,70;44;EUR;2.405,80;181;EUR;175,40;3.168;EUR;55,60;4.262;EUR;18,60;55.319;EUR;5,70;ZZ;159.726;EUR;1,20;
27.08.2017;aufsteigend;3;4;5;7;20;33;ZZ;41;3;EUR;333.333,30;3;EUR;37.533,30;122;EUR;1.006,80;253;EUR;145,60;5.865;EUR;34,90;5.965;EUR;15,40;90.214;EUR;4,10;ZZ;187.693;EUR;1,20;
30.08.2017;aufsteigend;1;14;22;27;32;37;ZZ;41;JP;;699.747,90;1;EUR;96.215,30;85;EUR;1.234,80;183;EUR;172,00;3.891;EUR;44,90;4.799;EUR;16,40;56.518;EUR;5,60;ZZ;165.819;EUR;1,20;
03.09.2017;aufsteigend;3;11;13;15;39;40;ZZ;37;1;EUR;1.755.105,90;4;EUR;36.277,90;130;EUR;1.217,70;299;EUR;158,80;6.016;EUR;43,80;6.923;EUR;17,10;99.515;EUR;4,70;ZZ;242.849;EUR;1,20;
06.09.2017;aufsteigend;4;7;11;18;23;36;ZZ;35;1;EUR;1.000.000,00;2;EUR;48.635,00;124;EUR;855,70;217;EUR;146,60;4.631;EUR;38,10;4.554;EUR;17,40;69.256;EUR;4,60;ZZ;171.742;EUR;1,20;
10.09.2017;aufsteigend;14;17;26;34;40;44;ZZ;3;JP;;816.511,40;2;EUR;56.135,10;119;EUR;1.029,20;305;EUR;120,40;4.694;EUR;43,40;6.656;EUR;13,80;69.577;EUR;5,30;ZZ;254.938;EUR;1,20;
13.09.2017;aufsteigend;5;14;23;27;31;45;ZZ;29;3;EUR;574.537,80;4;EUR;31.181,60;108;EUR;1.259,80;255;EUR;160,00;5.255;EUR;43,10;6.651;EUR;15,30;80.633;EUR;5,00;ZZ;237.492;EUR;1,20;
17.09.2017;aufsteigend;2;11;15;29;32;44;ZZ;3;1;EUR;1.000.000,00;4;EUR;27.968,20;128;EUR;953,40;226;EUR;162,00;4.586;EUR;44,30;6.440;EUR;14,20;70.360;EUR;5,20;ZZ;247.892;EUR;1,20;
20.09.2017;aufsteigend;2;7;11;18;20;24;ZZ;42;JP;;681.111,50;1;EUR;93.652,80;121;EUR;844,30;190;EUR;161,30;4.640;EUR;36,60;4.628;EUR;16,50;68.300;EUR;4,50;ZZ;165.128;EUR;1,20;
24.09.2017;aufsteigend;1;12;31;32;38;43;ZZ;27;DJP;;1.672.923,80;5;EUR;27.274,80;72;EUR;2.066,20;242;EUR;184,40;4.330;EUR;57,20;6.338;EUR;17,60;74.791;EUR;6,00;ZZ;293.798;EUR;1,20;
27.09.2017;aufsteigend;9;26;32;35;37;43;ZZ;18;1;EUR;2.701.040,40;3;EUR;47.122,00;109;EUR;1.414,80;294;EUR;157,30;5.258;EUR;48,80;6.951;EUR;16,60;85.766;EUR;5,40;ZZ;264.038;EUR;1,20;
01.10.2017;aufsteigend;4;6;16;18;24;38;ZZ;1;JP;;831.545,90;2;EUR;57.168,70;79;EUR;1.578,80;245;EUR;152,70;4.470;EUR;46,50;6.343;EUR;14,70;74.037;EUR;5,00;ZZ;219.953;EUR;1,20;
04.10.2017;aufsteigend;14;26;32;33;36;37;ZZ;40;DJP;;1.827.744,40;3;EUR;45.659,10;103;EUR;1.450,70;264;EUR;169,80;4.720;EUR;52,70;6.585;EUR;17,00;79.106;EUR;5,60;ZZ;250.505;EUR;1,20;
08.10.2017;aufsteigend;10;13;26;34;37;45;ZZ;6;3JP;;3.057.935,20;3;EUR;56.383,70;138;EUR;1.337,10;376;EUR;147,20;6.247;EUR;49,20;9.068;EUR;15,20;102.465;EUR;5,40;ZZ;346.921;EUR;1,20;
11.10.2017;aufsteigend;5;13;26;29;33;41;ZZ;40;4JP;;4.368.975,50;6;EUR;30.044,60;185;EUR;1.063,00;377;EUR;156,40;8.115;EUR;40,30;9.080;EUR;16,20;120.669;EUR;4,90;ZZ;326.413;EUR;1,20;
15.10.2017;aufsteigend;6;7;9;14;28;44;ZZ;2;5JP;;6.122.295,70;5;EUR;48.216,30;216;EUR;1.217,50;656;EUR;120,20;10.436;EUR;42,00;15.137;EUR;13,00;166.585;EUR;4,70;ZZ;446.356;EUR;1,20;
18.10.2017;aufsteigend;14;16;19;22;39;41;ZZ;10;1;EUR;8.363.617,60;6;EUR;51.363,60;230;EUR;1.461,70;582;EUR;173,20;11.162;EUR;50,10;16.022;EUR;15,70;187.145;EUR;5,40;ZZ;633.695;EUR;1,20;
22.10.2017;aufsteigend;7;30;31;36;38;39;ZZ;12;1;EUR;1.000.000,00;3;EUR;39.111,30;91;EUR;1.406,60;185;EUR;207,50;4.128;EUR;51,60;5.430;EUR;17,60;65.829;EUR;5,80;ZZ;247.165;EUR;1,20;
25.10.2017;aufsteigend;8;18;21;32;35;36;ZZ;9;JP;;736.891,80;2;EUR;50.661,30;103;EUR;1.073,10;202;EUR;164,10;4.059;EUR;45,30;5.465;EUR;15,10;62.186;EUR;5,30;ZZ;228.569;EUR;1,20;
29.10.2017;aufsteigend;4;9;24;26;29;33;ZZ;41;1;EUR;1.680.225,20;3;EUR;43.236,10;131;EUR;1.080,10;284;EUR;149,40;5.746;EUR;41,00;7.589;EUR;13,90;89.750;EUR;4,70;ZZ;221.214;EUR;1,20;
01.11.2017;aufsteigend;1;3;4;27;33;35;ZZ;10;JP;;692.084,30;5;EUR;19.032,30;55;EUR;1.887,50;238;EUR;130,80;3.509;EUR;49,30;6.199;EUR;12,50;64.536;EUR;4,80;ZZ;187.788;EUR;1,20;
05.11.2017;aufsteigend;5;8;16;19;22;40;ZZ;36;DJP;;1.761.961,70;1;EUR;147.108,10;141;EUR;1.138,10;334;EUR;144,10;6.958;EUR;38,40;7.699;EUR;15,60;105.112;EUR;4,60;ZZ;256.663;EUR;1,20;
08.11.2017;aufsteigend;15;18;20;29;30;41;ZZ;25;1;EUR;2.843.645,70;3;EUR;49.577,10;111;EUR;1.461,70;286;EUR;170,10;5.471;EUR;49,40;7.725;EUR;15,70;89.994;EUR;5,40;ZZ;272.772;EUR;1,20;
12.11.2017;aufsteigend;2;17;34;40;43;44;ZZ;1;JP;;843.518,80;3;EUR;38.661,20;87;EUR;1.454,30;218;EUR;174,10;4.240;EUR;49,70;5.545;EUR;17,10;71.185;EUR;5,30;ZZ;239.245;EUR;1,20;
15.11.2017;aufsteigend;2;5;7;19;27;40;ZZ;6;3;EUR;594.988,40;11;EUR;11.768,00;190;EUR;743,20;459;EUR;92,20;7.182;EUR;32,70;9.408;EUR;11,20;98.415;EUR;4,30;ZZ;257.006;EUR;1,20;
19.11.2017;aufsteigend;2;14;19;23;40;41;ZZ;31;JP;;833.446,00;1;EUR;114.598,80;80;EUR;1.562,70;209;EUR;179,40;4.179;EUR;49,80;5.378;EUR;17,40;69.650;EUR;5,40;ZZ;201.941;EUR;1,20;
22.11.2017;aufsteigend;1;3;6;12;16;42;ZZ;40;DJP;;1.757.806,70;2;EUR;63.549,70;144;EUR;962,80;261;EUR;159,30;6.187;EUR;37,30;6.635;EUR;15,60;96.608;EUR;4,30;ZZ;226.871;EUR;1,20;
26.11.2017;aufsteigend;1;4;6;23;30;45;ZZ;32;3JP;;2.908.974,00;1;EUR;158.285,50;170;EUR;1.015,70;317;EUR;163,40;6.797;EUR;42,30;7.511;EUR;17,20;108.983;EUR;4,70;ZZ;290.983;EUR;1,20;
29.11.2017;aufsteigend;5;11;15;20;21;26;ZZ;25;1;EUR;4.174.727,30;1;EUR;174.041,00;176;EUR;1.078,70;430;EUR;132,40;7.744;EUR;40,80;10.360;EUR;13,70;121.585;EUR;4,70;ZZ;306.903;EUR;1,20;
03.12.2017;aufsteigend;3;15;23;30;33;37;ZZ;42;JP;;838.999,80;5;EUR;23.072,40;100;EUR;1.258,40;266;EUR;141,90;5.118;EUR;40,90;5.813;EUR;16,20;74.839;EUR;5,00;ZZ;203.479;EUR;1,20;
06.12.2017;aufsteigend;15;26;31;39;43;44;ZZ;2;DJP;;1.790.119,60;3;EUR;43.592,90;103;EUR;1.385,10;260;EUR;164,60;5.124;EUR;46,40;6.302;EUR;16,90;79.993;EUR;5,30;ZZ;274.303;EUR;1,20;
10.12.2017;aufsteigend;7;11;21;22;25;37;ZZ;3;3JP;;2.881.657,90;6;EUR;25.014,40;118;EUR;1.387,50;391;EUR;125,60;6.060;EUR;45,00;9.888;EUR;12,40;97.072;EUR;5,00;ZZ;312.074;EUR;1,20;
13.12.2017;aufsteigend;2;5;10;25;28;42;ZZ;36;4JP;;4.191.061,80;4;EUR;45.010,70;167;EUR;1.176,10;418;EUR;140,90;8.137;EUR;40,20;9.340;EUR;15,70;125.462;EUR;4,70;ZZ;322.596;EUR;1,20;
17.12.2017;aufsteigend;11;27;28;31;36;37;ZZ;33;5JP;;5.836.617,50;2;EUR;113.131,90;165;EUR;1.495,90;398;EUR;186,00;8.036;EUR;51,10;10.836;EUR;17,00;136.745;EUR;5,40;ZZ;446.931;EUR;1,20;
20.12.2017;aufsteigend;13;33;34;35;36;39;ZZ;23;6JP;;8.050.489,50;12;EUR;25.367,20;298;EUR;1.114,30;620;EUR;160,60;12.745;EUR;43,40;16.089;EUR;15,40;184.754;EUR;5,40;ZZ;584.159;EUR;1,20;
