datum;aufsteigend;z1asc;z2asc;z3asc;z4asc;z5asc;z6asc;zz;zusatzzahl;sechser;;quoteSechser;fuenferZz;;quoteFuenferZz;fuenfer;;quoteFuenfer;viererZz;;quoteViererZz;vierer;;quoteVierer;dreierZz;;quoteDreierZz;dreier;;quoteDreier;ZZ;nrOfZz;;quoteZz;
01.01.2017;aufsteigend;4;15;24;27;39;41;ZZ;33;1;EUR;2.022.895,20;4;EUR;44.451,00;175;EUR;1.108,30;420;EUR;138,50;7.546;EUR;42,80;10.283;EUR;14,10;112.911;EUR;5,10;ZZ;348.223;EUR;1,20;
04.01.2017;aufsteigend;8;9;34;39;41;45;ZZ;26;JP;;770.961,60;3;EUR;35.335,70;88;EUR;1.314,10;209;EUR;165,90;3.808;EUR;50,60;5.737;EUR;15,10;63.363;EUR;5,50;ZZ;206.756;EUR;1,20;
08.01.2017;aufsteigend;4;27;29;30;39;42;ZZ;15;1;EUR;1.818.008,50;1;EUR;143.968,90;117;EUR;1.342,30;394;EUR;119,50;5.503;EUR;47,50;8.695;EUR;13,50;91.460;EUR;5,10;ZZ;265.143;EUR;1,20;
11.01.2017;aufsteigend;4;10;13;20;26;30;ZZ;18;JP;;750.465,30;JP;;103.188,90;126;EUR;893,40;272;EUR;124,10;5.192;EUR;36,10;6.162;EUR;13,70;75.871;EUR;4,40;ZZ;182.864;EUR;1,20;
15.01.2017;aufsteigend;21;26;30;32;35;42;ZZ;9;DJP;;1.911.533,50;1;EUR;262.835,80;106;EUR;1.643,00;359;EUR;145,50;5.519;EUR;52,50;8.657;EUR;15,00;96.678;EUR;5,40;ZZ;349.144;EUR;1,20;
18.01.2017;aufsteigend;1;8;13;24;33;37;ZZ;3;3JP;;3.097.591,80;4;EUR;40.770,70;111;EUR;1.602,70;344;EUR;155,10;6.069;EUR;48,80;9.877;EUR;13,50;100.126;EUR;5,30;ZZ;344.779;EUR;1,20;
22.01.2017;aufsteigend;12;25;28;39;41;43;ZZ;44;4JP;;4.612.223,70;8;EUR;26.032,70;158;EUR;1.437,90;417;EUR;163,40;7.864;EUR;48,10;9.959;EUR;17,10;126.153;EUR;5,40;ZZ;383.260;EUR;1,20;
25.01.2017;aufsteigend;3;7;34;35;36;39;ZZ;30;2;EUR;3.185.928,30;7;EUR;34.564,20;164;EUR;1.609,40;463;EUR;171,00;9.269;EUR;47,40;11.963;EUR;16,50;152.450;EUR;5,20;ZZ;457.362;EUR;1,20;
29.01.2017;aufsteigend;8;11;15;22;24;25;ZZ;3;1;EUR;1.000.000,00;6;EUR;20.077,50;128;EUR;1.026,60;391;EUR;100,80;5.418;EUR;40,40;8.537;EUR;11,50;82.362;EUR;4,80;ZZ;256.981;EUR;1,20;
01.02.2017;aufsteigend;14;20;24;26;31;36;ZZ;35;JP;;754.968,40;1;EUR;103.808,10;62;EUR;1.826,50;167;EUR;203,40;3.244;EUR;58,10;4.276;EUR;19,80;58.218;EUR;5,80;ZZ;184.660;EUR;1,20;
05.02.2017;aufsteigend;6;7;30;32;41;44;ZZ;19;1;EUR;1.922.613,30;4;EUR;40.137,70;115;EUR;1.523,00;282;EUR;186,30;5.523;EUR;52,80;8.325;EUR;15,70;95.120;EUR;5,50;ZZ;310.612;EUR;1,20;
08.02.2017;aufsteigend;3;9;12;16;19;27;ZZ;26;2;EUR;500.000,00;5;EUR;20.623,70;198;EUR;568,10;339;EUR;99,50;6.791;EUR;27,60;7.321;EUR;11,50;88.431;EUR;3,80;ZZ;194.603;EUR;1,20;
12.02.2017;aufsteigend;9;10;25;36;38;40;ZZ;4;1;EUR;1.000.000,00;2;EUR;59.308,00;90;EUR;1.437,70;207;EUR;187,50;3.920;EUR;55,00;5.877;EUR;16,50;68.932;EUR;5,60;ZZ;245.604;EUR;1,20;
15.02.2017;aufsteigend;8;11;33;35;38;42;ZZ;16;1;EUR;1.000.000,00;3;EUR;34.195,80;85;EUR;1.316,60;243;EUR;138,10;3.967;EUR;47,00;5.487;EUR;15,20;63.614;EUR;5,30;ZZ;194.541;EUR;1,20;
19.02.2017;aufsteigend;12;23;24;31;34;43;ZZ;29;JP;;863.525,70;5;EUR;23.746,90;82;EUR;1.579,60;220;EUR;176,60;4.130;EUR;52,20;5.424;EUR;17,90;69.525;EUR;5,60;ZZ;239.152;EUR;1,20;
22.02.2017;aufsteigend;12;17;19;30;39;44;ZZ;42;DJP;;1.821.643,70;1;EUR;131.741,20;88;EUR;1.633,10;252;EUR;171,00;5.016;EUR;47,70;6.582;EUR;16,30;83.240;EUR;5,20;ZZ;228.992;EUR;1,20;
26.02.2017;aufsteigend;1;15;16;19;22;42;ZZ;18;3JP;;3.062.633,40;2;EUR;85.318,00;124;EUR;1.501,10;291;EUR;191,90;5.851;EUR;53,00;7.911;EUR;17,60;103.680;EUR;5,40;ZZ;323.694;EUR;1,20;
01.03.2017;aufsteigend;1;2;10;17;24;41;ZZ;45;1;EUR;4.485.804,20;3;EUR;65.228,60;156;EUR;1.368,40;404;EUR;158,50;7.841;EUR;45,30;10.391;EUR;15,40;128.612;EUR;5,00;ZZ;355.152;EUR;1,20;
