datum;aufsteigend;z1asc;z2asc;z3asc;z4asc;z5asc;z6asc;zz;zusatzzahl;sechser;;quoteSechser;fuenferZz;;quoteFuenferZz;fuenfer;;quoteFuenfer;viererZz;;quoteViererZz;vierer;;quoteVierer;dreierZz;;quoteDreierZz;dreier;;quoteDreier;ZZ;nrOfZz;;quoteZz;
02.01.2019;aufsteigend;2;10;12;13;26;28;ZZ;35;DJP;EUR;1.700.309,50;1;EUR;116.533,50;140;EUR;908,00;258;EUR;147,80;6.109;EUR;34,60;5.915;EUR;16,10;87.266;EUR;4,30;ZZ;203.938;EUR;1,20;
06.01.2019;aufsteigend;3;23;24;34;36;39;ZZ;18;1;EUR;2.772.854,10;1;EUR;147.474,80;128;EUR;1.256,80;298;EUR;161,90;5.347;EUR;50,10;7.301;EUR;16,50;90.750;EUR;5,30;ZZ;275.671;EUR;1,20;
09.01.2019;aufsteigend;1;8;21;31;33;39;ZZ;38;JP;;678.363,70;1;EUR;93.275,00;74;EUR;1.375,00;151;EUR;202,10;3.560;EUR;47,60;4.294;EUR;17,70;60.923;EUR;5,00;ZZ;161.923;EUR;1,20;
13.01.2019;aufsteigend;8;11;15;16;20;30;ZZ;42;1;EUR;1.633.755,50;3;EUR;43.788,70;124;EUR;1.155,70;246;EUR;174,70;6.020;EUR;39,60;6.710;EUR;16,00;92.340;EUR;4,60;ZZ;234.836;EUR;1,20;
16.01.2019;aufsteigend;3;17;18;32;38;43;ZZ;39;JP;;680.060,50;2;EUR;46.754,10;79;EUR;1.291,20;197;EUR;155,30;3.443;EUR;49,30;5.596;EUR;13,60;57.749;EUR;5,30;ZZ;170.378;EUR;1,20;
20.01.2019;aufsteigend;1;7;19;22;36;42;ZZ;17;1;EUR;1.638.353,90;3;EUR;43.921,70;116;EUR;1.239,10;291;EUR;148,10;5.420;EUR;44,20;7.051;EUR;15,20;85.227;EUR;5,00;ZZ;264.597;EUR;1,20;
23.01.2019;aufsteigend;1;12;28;36;40;41;ZZ;8;JP;;664.479,60;3;EUR;30.455,30;77;EUR;1.294,40;188;EUR;159,00;3.121;EUR;53,20;5.062;EUR;14,70;52.101;EUR;5,70;ZZ;194.325;EUR;1,20;
27.01.2019;aufsteigend;4;13;15;29;33;39;ZZ;2;DJP;;1.618.389,90;5;EUR;26.232,50;127;EUR;1.126,60;287;EUR;149,50;5.541;EUR;43,00;7.029;EUR;15,20;87.156;EUR;4,90;ZZ;261.388;EUR;1,20;
30.01.2019;aufsteigend;19;20;21;28;30;45;ZZ;16;2;EUR;1.294.289,30;3;EUR;44.466,90;107;EUR;1.360,00;239;EUR;182,60;4.868;EUR;49,80;6.670;EUR;16,30;84.287;EUR;5,20;ZZ;252.904;EUR;1,20;
03.02.2019;aufsteigend;2;25;27;39;40;42;ZZ;34;JP;;792.331,50;JP;;108.945,50;79;EUR;1.504,40;176;EUR;202,50;3.739;EUR;52,90;4.962;EUR;17,90;64.504;EUR;5,50;ZZ;194.274;EUR;1,20;
06.02.2019;aufsteigend;13;15;19;26;30;44;ZZ;8;3;EUR;552.103,70;1;EUR;227.742,70;76;EUR;1.705,20;227;EUR;171,20;4.151;EUR;52,00;6.625;EUR;14,60;71.033;EUR;5,50;ZZ;248.915;EUR;1,20;
10.02.2019;aufsteigend;2;4;9;12;13;16;ZZ;15;JP;;765.519,90;5;EUR;21.051,70;170;EUR;675,40;274;EUR;125,70;5.717;EUR;33,40;6.062;EUR;14,20;80.765;EUR;4,20;ZZ;198.443;EUR;1,20;
13.02.2019;aufsteigend;3;7;8;16;23;25;ZZ;21;DJP;;1.602.935,40;5;EUR;23.028,90;138;EUR;910,20;288;EUR;130,80;5.552;EUR;37,70;7.177;EUR;13,10;84.490;EUR;4,40;ZZ;215.347;EUR;1,20;
17.02.2019;aufsteigend;5;7;26;33;37;44;ZZ;40;1;EUR;2.668.252,80;1;EUR;146.481,10;124;EUR;1.288,60;290;EUR;165,30;6.071;EUR;43,80;7.139;EUR;16,70;96.603;EUR;4,90;ZZ;263.048;EUR;1,20;
20.02.2019;aufsteigend;9;12;21;26;29;37;ZZ;34;JP;;644.481,80;2;EUR;44.308,10;77;EUR;1.255,40;192;EUR;151,00;3.779;EUR;42,60;4.690;EUR;15,40;59.877;EUR;4,80;ZZ;153.241;EUR;1,20;
24.02.2019;aufsteigend;4;6;25;29;30;35;ZZ;18;DJP;;1.548.226,10;4;EUR;31.066,20;100;EUR;1.355,60;252;EUR;161,30;4.282;EUR;52,70;6.374;EUR;15,90;74.434;EUR;5,40;ZZ;225.338;EUR;1,20;
27.02.2019;aufsteigend;2;6;13;37;39;43;ZZ;24;3JP;;2.470.964,70;4;EUR;31.719,10;100;EUR;1.384,10;242;EUR;171,50;4.440;EUR;51,90;6.434;EUR;16,10;77.104;EUR;5,40;ZZ;243.721;EUR;1,20;
